group,area,task,analysis,signal_source,scoring,mean_score,std_score,sem_score,n_sessions,mean_neurons,min_neurons,max_neurons
g1post,A/RL/AL,auditory_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.6175925925925927,0.14273081323950684,0.10092592592592595,2,166.0,157,175
g1post,A/RL/AL,congruency,averaged_trial_response,glm_clean,balanced_accuracy,0.43472222222222223,0.013749298523071787,0.009722222222222243,2,166.0,157,175
g1post,A/RL/AL,modality,averaged_trial_response,glm_clean,balanced_accuracy,0.6930555555555555,0.07267486362195077,0.05138888888888893,2,166.0,157,175
g1post,A/RL/AL,trial_type,averaged_trial_response,glm_clean,balanced_accuracy,0.336111111111111,0.06088975060217493,0.043055555555555555,2,166.0,157,175
g1post,A/RL/AL,visual_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.7805555555555554,0.22391714737574,0.1583333333333333,2,166.0,157,175
g1post,AM/PM,auditory_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.6231481481481481,0.08249579113843056,0.05833333333333335,2,49.5,34,65
g1post,AM/PM,congruency,averaged_trial_response,glm_clean,balanced_accuracy,0.4527777777777777,0.003928371006591858,0.0027777777777777263,2,49.5,34,65
g1post,AM/PM,modality,averaged_trial_response,glm_clean,balanced_accuracy,0.5851851851851853,0.03928371006591928,0.027777777777777762,2,49.5,34,65
g1post,AM/PM,trial_type,averaged_trial_response,glm_clean,balanced_accuracy,0.30277777777777776,0.0451762665758072,0.03194444444444444,2,49.5,34,65
g1post,AM/PM,visual_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.6805555555555556,0.11654167319556061,0.0824074074074074,2,49.5,34,65
g1post,LM,auditory_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.47777777777777763,0.010475656017578555,0.00740740740740746,2,76.0,75,77
g1post,LM,congruency,averaged_trial_response,glm_clean,balanced_accuracy,0.44305555555555554,0.03731952456262329,0.02638888888888885,2,76.0,75,77
g1post,LM,modality,averaged_trial_response,glm_clean,balanced_accuracy,0.7162037037037037,0.03339115355603141,0.02361111111111111,2,76.0,75,77
g1post,LM,trial_type,averaged_trial_response,glm_clean,balanced_accuracy,0.3763888888888889,0.003928371006591936,0.002777777777777782,2,76.0,75,77
g1post,LM,visual_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.923148148148148,0.07202013512085208,0.05092592592592593,2,76.0,75,77
g1post,V1,auditory_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.5129629629629631,0.0026189140043946244,0.0018518518518518545,2,388.5,385,392
g1post,V1,congruency,averaged_trial_response,glm_clean,balanced_accuracy,0.4736111111111111,0.033391153556031374,0.023611111111111083,2,388.5,385,392
g1post,V1,modality,averaged_trial_response,glm_clean,balanced_accuracy,0.8060185185185186,0.10279237467248885,0.07268518518518519,2,388.5,385,392
g1post,V1,trial_type,averaged_trial_response,glm_clean,balanced_accuracy,0.5097222222222222,0.08642416214502255,0.06111111111111116,2,388.5,385,392
g1post,V1,visual_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.9703703703703703,0.020951312035156953,0.014814814814814808,2,388.5,385,392
g2post,A/RL/AL,auditory_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.6194444444444445,0.16368212527466378,0.11574074074074073,2,127.5,120,135
g2post,A/RL/AL,congruency,averaged_trial_response,glm_clean,balanced_accuracy,0.5055555555555555,0.04321208107251124,0.030555555555555558,2,127.5,120,135
g2post,A/RL/AL,modality,averaged_trial_response,glm_clean,balanced_accuracy,0.8430555555555556,0.07791269163073994,0.05509259259259258,2,127.5,120,135
g2post,A/RL/AL,trial_type,averaged_trial_response,glm_clean,balanced_accuracy,0.5479166666666666,0.11686903744610988,0.08263888888888885,2,127.5,120,135
g2post,A/RL/AL,visual_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.95,0.04190262407031395,0.029629629629629645,2,127.5,120,135
g2post,AM/PM,auditory_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.6453703703703704,0.06416339310766823,0.045370370370370394,2,188.0,181,195
g2post,AM/PM,congruency,averaged_trial_response,glm_clean,balanced_accuracy,0.4736111111111111,0.033391153556031374,0.023611111111111083,2,188.0,181,195
g2post,AM/PM,modality,averaged_trial_response,glm_clean,balanced_accuracy,0.8018518518518518,0.06023502210107632,0.042592592592592626,2,188.0,181,195
g2post,AM/PM,trial_type,averaged_trial_response,glm_clean,balanced_accuracy,0.5541666666666667,0.06874649261535885,0.04861111111111116,2,188.0,181,195
g2post,AM/PM,visual_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.9666666666666666,0.034045882057130196,0.024074074074074164,2,188.0,181,195
g2post,LM,auditory_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.5074074074074074,0.005237828008789327,0.0037037037037037646,2,32.5,5,60
g2post,LM,congruency,averaged_trial_response,glm_clean,balanced_accuracy,0.45555555555555555,0.007856742013183834,0.005555555555555536,2,32.5,5,60
g2post,LM,modality,averaged_trial_response,glm_clean,balanced_accuracy,0.6648148148148149,0.12047004420215247,0.08518518518518514,2,32.5,5,60
g2post,LM,trial_type,averaged_trial_response,glm_clean,balanced_accuracy,0.3659722222222222,0.07954951288348662,0.05625000000000002,2,32.5,5,60
g2post,LM,visual_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.8981481481481481,0.10213764617139019,0.07222222222222222,2,32.5,5,60
g2post,V1,auditory_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.5175925925925926,0.051068823085695075,0.036111111111111094,2,449.5,379,520
g2post,V1,congruency,averaged_trial_response,glm_clean,balanced_accuracy,0.538888888888889,0.02357022603955162,0.01666666666666669,2,449.5,379,520
g2post,V1,modality,averaged_trial_response,glm_clean,balanced_accuracy,0.8277777777777777,0.04583099507690602,0.032407407407407524,2,449.5,379,520
g2post,V1,trial_type,averaged_trial_response,glm_clean,balanced_accuracy,0.504861111111111,0.07365695637359887,0.052083333333333454,2,449.5,379,520
g2post,V1,visual_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.9916666666666665,0.003928371006591878,0.00277777777777774,2,449.5,379,520
