group,session_index,session_name,area,n_neurons,decoding_included,min_decoding_neurons,signal_source
g1post,0,Beta_20211128_002,A/RL/AL,175,True,40,glm_clean
g1post,3,Eta_20211210_002,A/RL/AL,157,True,40,glm_clean
g1post,1,Delta_20211210_002,A/RL/AL,108,True,40,glm_clean
g1post,5,Theta_20220126_002,A/RL/AL,77,True,40,glm_clean
g1post,2,Epsilon_20211210_002,A/RL/AL,55,True,40,glm_clean
g1post,6,Zeta_000_002,A/RL/AL,53,True,40,glm_clean
g1post,4,Poli_20220317_010,A/RL/AL,10,False,40,glm_clean
g1post,0,Beta_20211128_002,AM/PM,65,True,40,glm_clean
g1post,4,Poli_20220317_010,AM/PM,34,False,40,glm_clean
g1post,2,Epsilon_20211210_002,AM/PM,4,False,40,glm_clean
g1post,3,Eta_20211210_002,LM,77,True,40,glm_clean
g1post,5,Theta_20220126_002,LM,75,True,40,glm_clean
g1post,3,Eta_20211210_002,V1,392,True,40,glm_clean
g1post,2,Epsilon_20211210_002,V1,385,True,40,glm_clean
g1post,7,Zeta_20211229_009,V1,276,True,40,glm_clean
g1post,6,Zeta_000_002,V1,240,True,40,glm_clean
g1post,4,Poli_20220317_010,V1,125,True,40,glm_clean
g1post,5,Theta_20220126_002,V1,59,True,40,glm_clean
g2post,2,Duo_20220121_002,A/RL/AL,135,True,40,glm_clean
g2post,0,Diez_20221111_004,A/RL/AL,120,True,40,glm_clean
g2post,7,Tres_20220215_002,A/RL/AL,85,True,40,glm_clean
g2post,6,Siette_20220906_008,A/RL/AL,69,True,40,glm_clean
g2post,4,Ocho_20220907_008,A/RL/AL,18,False,40,glm_clean
g2post,7,Tres_20220215_002,AM/PM,195,True,40,glm_clean
g2post,0,Diez_20221111_004,AM/PM,181,True,40,glm_clean
g2post,1,Diez_20221111_008,AM/PM,6,False,40,glm_clean
g2post,4,Ocho_20220907_008,LM,60,True,40,glm_clean
g2post,6,Siette_20220906_008,LM,5,False,40,glm_clean
g2post,2,Duo_20220121_002,LM,2,False,40,glm_clean
g2post,7,Tres_20220215_002,V1,520,True,40,glm_clean
g2post,2,Duo_20220121_002,V1,379,True,40,glm_clean
g2post,1,Diez_20221111_008,V1,323,True,40,glm_clean
g2post,5,Quatro_20220222_007,V1,279,True,40,glm_clean
g2post,3,Nueve_20220907_008,V1,269,True,40,glm_clean
g2post,4,Ocho_20220907_008,V1,77,True,40,glm_clean
g2post,6,Siette_20220906_008,V1,14,False,40,glm_clean
g2post,0,Diez_20221111_004,V1,2,False,40,glm_clean
