group,area,task,analysis,signal_source,scoring,mean_score,std_score,sem_score,n_sessions,mean_neurons,min_neurons,max_neurons
g1pre,A/RL/AL,auditory_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.6462962962962961,0.18856180831641267,0.13333333333333333,2,146.0,123,169
g1pre,A/RL/AL,congruency,averaged_trial_response,glm_clean,balanced_accuracy,0.5319444444444446,0.03339115355603133,0.023611111111111055,2,146.0,123,169
g1pre,A/RL/AL,modality,averaged_trial_response,glm_clean,balanced_accuracy,0.5643518518518518,0.21540567686145753,0.15231481481481482,2,146.0,123,169
g1pre,A/RL/AL,trial_type,averaged_trial_response,glm_clean,balanced_accuracy,0.31180555555555556,0.20132901408783652,0.14236111111111116,2,146.0,123,169
g1pre,A/RL/AL,visual_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.6296296296296295,0.04452153807470853,0.03148148148148147,2,146.0,123,169
g1pre,AM/PM,auditory_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.5935185185185186,0.12439841520874455,0.08796296296296302,2,53.5,11,96
g1pre,AM/PM,congruency,averaged_trial_response,glm_clean,balanced_accuracy,0.4819444444444444,0.017677669529663705,0.012500000000000011,2,53.5,11,96
g1pre,AM/PM,modality,averaged_trial_response,glm_clean,balanced_accuracy,0.6476851851851853,0.05172355158679374,0.036574074074074064,2,53.5,11,96
g1pre,AM/PM,trial_type,averaged_trial_response,glm_clean,balanced_accuracy,0.35972222222222217,0.09231671865491038,0.06527777777777778,2,53.5,11,96
g1pre,AM/PM,visual_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.7620370370370371,0.043212081072511205,0.03055555555555553,2,53.5,11,96
g1pre,LM,auditory_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.5296296296296297,0.018332398030762448,0.012962962962963037,2,54.5,45,64
g1pre,LM,congruency,averaged_trial_response,glm_clean,balanced_accuracy,0.5291666666666668,0.0019641855032958406,0.0013888888888888007,2,54.5,45,64
g1pre,LM,modality,averaged_trial_response,glm_clean,balanced_accuracy,0.5328703703703703,0.20754893484827364,0.14675925925925923,2,54.5,45,64
g1pre,LM,trial_type,averaged_trial_response,glm_clean,balanced_accuracy,0.2513888888888889,0.12963624321753367,0.09166666666666663,2,54.5,45,64
g1pre,LM,visual_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.6953703703703703,0.22391714737574003,0.15833333333333333,2,54.5,45,64
g1pre,V1,auditory_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.5564814814814815,0.051068823085695075,0.036111111111111094,2,382.5,368,397
g1pre,V1,congruency,averaged_trial_response,glm_clean,balanced_accuracy,0.5444444444444445,0.027498597046143537,0.01944444444444446,2,382.5,368,397
g1pre,V1,modality,averaged_trial_response,glm_clean,balanced_accuracy,0.6847222222222222,0.050414094584596406,0.03564814814814812,2,382.5,368,397
g1pre,V1,trial_type,averaged_trial_response,glm_clean,balanced_accuracy,0.42499999999999993,0.06874649261535885,0.04861111111111116,2,382.5,368,397
g1pre,V1,visual_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.8870370370370371,0.0838052481406277,0.05925925925925915,2,382.5,368,397
g2pre,A/RL/AL,auditory_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.6481481481481481,0.09689981816260097,0.06851851851851853,2,131.0,113,149
g2pre,A/RL/AL,congruency,averaged_trial_response,glm_clean,balanced_accuracy,0.5152777777777777,0.025534411542847656,0.01805555555555563,2,131.0,113,149
g2pre,A/RL/AL,modality,averaged_trial_response,glm_clean,balanced_accuracy,0.8351851851851853,0.0013094570021971355,0.0009259259259258024,2,131.0,113,149
g2pre,A/RL/AL,trial_type,averaged_trial_response,glm_clean,balanced_accuracy,0.59375,0.03437324630767943,0.02430555555555558,2,131.0,113,149
g2pre,A/RL/AL,visual_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.9046296296296295,0.0196418550329597,0.013888888888888923,2,131.0,113,149
g2pre,AM/PM,auditory_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.6166666666666667,0.05925925925925925,0.03421334928531115,3,176.66666666666666,159,186
g2pre,AM/PM,congruency,averaged_trial_response,glm_clean,balanced_accuracy,0.5064814814814814,0.03892194362404396,0.02247159462872522,3,176.66666666666666,159,186
g2pre,AM/PM,modality,averaged_trial_response,glm_clean,balanced_accuracy,0.8444444444444444,0.06459619213551814,0.03729462891806618,3,176.66666666666666,159,186
g2pre,AM/PM,trial_type,averaged_trial_response,glm_clean,balanced_accuracy,0.5976851851851852,0.0712857736342515,0.041156860597125824,3,176.66666666666666,159,186
g2pre,AM/PM,visual_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.9858024691358024,0.008350462505227576,0.004821141775251017,3,176.66666666666666,159,186
g2pre,LM,auditory_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.49537037037037035,0.01178511301977581,0.008333333333333345,2,36.5,2,71
g2pre,LM,congruency,averaged_trial_response,glm_clean,balanced_accuracy,0.48472222222222217,0.001964185503295939,0.00138888888888887,2,36.5,2,71
g2pre,LM,modality,averaged_trial_response,glm_clean,balanced_accuracy,0.600462962962963,0.1604084827691704,0.11342592592592586,2,36.5,2,71
g2pre,LM,trial_type,averaged_trial_response,glm_clean,balanced_accuracy,0.2909722222222222,0.1541885620087333,0.10902777777777779,2,36.5,2,71
g2pre,LM,visual_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.7620370370370371,0.2736765134592379,0.19351851851851853,2,36.5,2,71
g2pre,V1,auditory_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.55,0.028808054048340945,0.020370370370370455,2,388.0,334,442
g2pre,V1,congruency,averaged_trial_response,glm_clean,balanced_accuracy,0.5333333333333333,0.01178511301977575,0.008333333333333304,2,388.0,334,442
g2pre,V1,modality,averaged_trial_response,glm_clean,balanced_accuracy,0.8648148148148149,0.01833239803076237,0.012962962962962982,2,388.0,334,442
g2pre,V1,trial_type,averaged_trial_response,glm_clean,balanced_accuracy,0.5611111111111111,0.0019641855032959585,0.001388888888888884,2,388.0,334,442
g2pre,V1,visual_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.9962962962962962,0.0,0.0,2,388.0,334,442
