group,area,task,analysis,signal_source,scoring,mean_score,std_score,sem_score,n_sessions,mean_neurons,min_neurons,max_neurons
g1pre,A/RL/AL,A_position,timepoint_position,glm_clean,balanced_accuracy,0.10635802469135795,0.034831556258448484,0.024629629629629654,2,146.0,123,169
g1pre,A/RL/AL,V_position,timepoint_position,glm_clean,balanced_accuracy,0.10240740740740735,0.01230889582065479,0.008703703703703755,2,146.0,123,169
g1pre,AM/PM,A_position,timepoint_position,glm_clean,balanced_accuracy,0.1069135802469135,0.018157803763802688,0.012839506172839497,2,53.5,11,96
g1pre,AM/PM,V_position,timepoint_position,glm_clean,balanced_accuracy,0.11370370370370365,0.0010475656017578615,0.0007407407407407501,2,53.5,11,96
g1pre,LM,A_position,timepoint_position,glm_clean,balanced_accuracy,0.08259259259259255,0.02112590630211658,0.014938271604938255,2,54.5,45,64
g1pre,LM,V_position,timepoint_position,glm_clean,balanced_accuracy,0.11518518518518514,0.04731504634606276,0.03345679012345676,2,54.5,45,64
g1pre,V1,A_position,timepoint_position,glm_clean,balanced_accuracy,0.11209876543209875,0.0050632337418296015,0.0035802469135802484,2,382.5,368,397
g1pre,V1,V_position,timepoint_position,glm_clean,balanced_accuracy,0.1661728395061728,0.017110238162044912,0.012098765432098806,2,382.5,368,397
g2pre,A/RL/AL,A_position,timepoint_position,glm_clean,balanced_accuracy,0.1324691358024691,0.0036664796061524957,0.0025925925925926116,2,131.0,113,149
g2pre,A/RL/AL,V_position,timepoint_position,glm_clean,balanced_accuracy,0.16555555555555557,0.0041902624070313775,0.002962962962962952,2,131.0,113,149
g2pre,AM/PM,A_position,timepoint_position,glm_clean,balanced_accuracy,0.1427572016460905,0.013331237451490011,0.0076967935312485785,3,176.66666666666666,159,186
g2pre,AM/PM,V_position,timepoint_position,glm_clean,balanced_accuracy,0.22419753086419755,0.04302907500207527,0.02484284803542875,3,176.66666666666666,159,186
g2pre,LM,A_position,timepoint_position,glm_clean,balanced_accuracy,0.1054938271604938,0.054735302691847565,0.0387037037037037,2,36.5,2,71
g2pre,LM,V_position,timepoint_position,glm_clean,balanced_accuracy,0.16469135802469131,0.11767653593079831,0.08320987654320991,2,36.5,2,71
g2pre,V1,A_position,timepoint_position,glm_clean,balanced_accuracy,0.17092592592592587,0.0007856742013183617,0.0005555555555555383,2,388.0,334,442
g2pre,V1,V_position,timepoint_position,glm_clean,balanced_accuracy,0.33104938271604933,0.004102965273551603,0.0029012345679012563,2,388.0,334,442
