group,session_index,session_name,area,n_neurons,signal_source,balanced_included
g1pre,0,Beta_20211029_002,A/RL/AL,169,glm_clean,True
g1pre,3,Eta_20211111_002,A/RL/AL,123,glm_clean,True
g1pre,4,Kappa_20221102_002,A/RL/AL,105,glm_clean,False
g1pre,1,Delta_20211109_001,A/RL/AL,99,glm_clean,False
g1pre,6,Theta_20220102_002,A/RL/AL,62,glm_clean,False
g1pre,7,Zeta_20211202_002,A/RL/AL,50,glm_clean,False
g1pre,2,Epsilon_20211111_003,A/RL/AL,44,glm_clean,False
g1pre,5,Poli_20220217_008,A/RL/AL,3,glm_clean,False
g2pre,8,Quince_20230725_003,A/RL/AL,149,glm_clean,True
g2pre,1,Diez_20220908_008,A/RL/AL,113,glm_clean,True
g2pre,5,Once_20230721_003,A/RL/AL,111,glm_clean,False
g2pre,9,Siette_20220802_003,A/RL/AL,77,glm_clean,False
g2pre,2,Duo_000_002,A/RL/AL,71,glm_clean,False
g2pre,11,Tres_20220119_001,A/RL/AL,64,glm_clean,False
g2pre,4,Ocho_20220804_006,A/RL/AL,15,glm_clean,False
g1pre,0,Beta_20211029_002,AM/PM,96,glm_clean,True
g1pre,5,Poli_20220217_008,AM/PM,11,glm_clean,True
g1pre,4,Kappa_20221102_002,AM/PM,10,glm_clean,False
g2pre,11,Tres_20220119_001,AM/PM,186,glm_clean,True
g2pre,0,Dieciceis_20230725_002,AM/PM,185,glm_clean,True
g2pre,1,Diez_20220908_008,AM/PM,159,glm_clean,True
g2pre,5,Once_20230721_003,AM/PM,5,glm_clean,False
g1pre,6,Theta_20220102_002,LM,64,glm_clean,True
g1pre,3,Eta_20211111_002,LM,45,glm_clean,True
g2pre,4,Ocho_20220804_006,LM,71,glm_clean,True
g2pre,9,Siette_20220802_003,LM,2,glm_clean,True
g1pre,8,Zeta_20211202_011,V1,397,glm_clean,True
g1pre,2,Epsilon_20211111_003,V1,368,glm_clean,True
g1pre,3,Eta_20211111_002,V1,252,glm_clean,False
g1pre,7,Zeta_20211202_002,V1,185,glm_clean,False
g1pre,5,Poli_20220217_008,V1,146,glm_clean,False
g1pre,6,Theta_20220102_002,V1,26,glm_clean,False
g2pre,11,Tres_20220119_001,V1,442,glm_clean,True
g2pre,6,Quatro_20220128_001,V1,334,glm_clean,True
g2pre,3,Nueve_20220804_001,V1,331,glm_clean,False
g2pre,10,Trece_20230721_001,V1,187,glm_clean,False
g2pre,2,Duo_000_002,V1,177,glm_clean,False
g2pre,7,Quince_20230725_001,V1,95,glm_clean,False
g2pre,4,Ocho_20220804_006,V1,60,glm_clean,False
g2pre,9,Siette_20220802_003,V1,10,glm_clean,False
