group,area,task,analysis,signal_source,scoring,mean_score,std_score,sem_score,n_sessions,mean_neurons,min_neurons,max_neurons
g1pre,A/RL/AL,auditory_direction,averaged_trial_response,signal,balanced_accuracy,0.6499999999999999,0.18332398030762334,0.12962962962962957,2,146.0,123,169
g1pre,A/RL/AL,congruency,averaged_trial_response,signal,balanced_accuracy,0.538888888888889,0.007856742013183872,0.005555555555555564,2,146.0,123,169
g1pre,A/RL/AL,modality,averaged_trial_response,signal,balanced_accuracy,0.5768518518518518,0.20427529234278052,0.14444444444444451,2,146.0,123,169
g1pre,A/RL/AL,trial_type,averaged_trial_response,signal,balanced_accuracy,0.3125,0.1846334373098208,0.1305555555555556,2,146.0,123,169
g1pre,A/RL/AL,visual_direction,averaged_trial_response,signal,balanced_accuracy,0.6333333333333333,0.020951312035156995,0.014814814814814836,2,146.0,123,169
g1pre,AM/PM,auditory_direction,averaged_trial_response,signal,balanced_accuracy,0.5916666666666667,0.11916058719995522,0.08425925925925926,2,53.5,11,96
g1pre,AM/PM,congruency,averaged_trial_response,signal,balanced_accuracy,0.4902777777777777,0.02946278254943951,0.020833333333333356,2,53.5,11,96
g1pre,AM/PM,modality,averaged_trial_response,signal,balanced_accuracy,0.6175925925925927,0.08380524814062794,0.05925925925925932,2,53.5,11,96
g1pre,AM/PM,trial_type,averaged_trial_response,signal,balanced_accuracy,0.3416666666666667,0.10213764617139018,0.0722222222222222,2,53.5,11,96
g1pre,AM/PM,visual_direction,averaged_trial_response,signal,balanced_accuracy,0.7574074074074073,0.04714045207910312,0.0333333333333333,2,53.5,11,96
g1pre,LM,auditory_direction,averaged_trial_response,signal,balanced_accuracy,0.5138888888888888,0.0013094570021972925,0.0009259259259259134,2,54.5,45,64
g1pre,LM,congruency,averaged_trial_response,signal,balanced_accuracy,0.5236111111111111,0.0216060405362557,0.015277777777777835,2,54.5,45,64
g1pre,LM,modality,averaged_trial_response,signal,balanced_accuracy,0.5356481481481481,0.19969219283508982,0.14120370370370372,2,54.5,45,64
g1pre,LM,trial_type,averaged_trial_response,signal,balanced_accuracy,0.2520833333333333,0.12865415046588569,0.09097222222222219,2,54.5,45,64
g1pre,LM,visual_direction,averaged_trial_response,signal,balanced_accuracy,0.6944444444444444,0.22260769037354275,0.1574074074074074,2,54.5,45,64
g1pre,V1,auditory_direction,averaged_trial_response,signal,balanced_accuracy,0.5509259259259259,0.051068823085695075,0.036111111111111094,2,382.5,368,397
g1pre,V1,congruency,averaged_trial_response,signal,balanced_accuracy,0.538888888888889,0.031426968052735454,0.022222222222222227,2,382.5,368,397
g1pre,V1,modality,averaged_trial_response,signal,balanced_accuracy,0.6763888888888887,0.05303300858899115,0.03750000000000006,2,382.5,368,397
g1pre,V1,trial_type,averaged_trial_response,signal,balanced_accuracy,0.41736111111111107,0.07365695637359869,0.05208333333333333,2,382.5,368,397
g1pre,V1,visual_direction,averaged_trial_response,signal,balanced_accuracy,0.8898148148148148,0.07725796312964128,0.05462962962962961,2,382.5,368,397
g2pre,A/RL/AL,auditory_direction,averaged_trial_response,signal,balanced_accuracy,0.6555555555555557,0.0995187321669956,0.07037037037037039,2,131.0,113,149
g2pre,A/RL/AL,congruency,averaged_trial_response,signal,balanced_accuracy,0.5152777777777777,0.029462782549439473,0.02083333333333333,2,131.0,113,149
g2pre,A/RL/AL,modality,averaged_trial_response,signal,balanced_accuracy,0.8356481481481481,0.016368212527466335,0.011574074074074042,2,131.0,113,149
g2pre,A/RL/AL,trial_type,averaged_trial_response,signal,balanced_accuracy,0.5993055555555555,0.04615835932745518,0.032638888888888884,2,131.0,113,149
g2pre,A/RL/AL,visual_direction,averaged_trial_response,signal,balanced_accuracy,0.8953703703703704,0.027498597046143415,0.019444444444444375,2,131.0,113,149
g2pre,AM/PM,auditory_direction,averaged_trial_response,signal,balanced_accuracy,0.6185185185185186,0.04724944748952997,0.027279481227141217,3,176.66666666666666,159,186
