group,area,task,analysis,signal_source,scoring,mean_score,std_score,sem_score,n_sessions,mean_neurons,min_neurons,max_neurons
g1pre,A/RL/AL,A_position,timepoint_position,signal,balanced_accuracy,0.10561728395061724,0.035006150525408175,0.024753086419753142,2,146.0,123,169
g1pre,A/RL/AL,V_position,timepoint_position,signal,balanced_accuracy,0.10450617283950614,0.01091214168497758,0.0077160493827160455,2,146.0,123,169
g1pre,AM/PM,A_position,timepoint_position,signal,balanced_accuracy,0.10820987654320985,0.020689420634717525,0.014629629629629645,2,53.5,11,96
g1pre,AM/PM,V_position,timepoint_position,signal,balanced_accuracy,0.112037037037037,0.0006110799343587444,0.00043209876543209846,2,53.5,11,96
g1pre,LM,A_position,timepoint_position,signal,balanced_accuracy,0.08259259259259255,0.018681586564681583,0.013209876543209847,2,54.5,45,64
g1pre,LM,V_position,timepoint_position,signal,balanced_accuracy,0.113395061728395,0.047926126280421553,0.03388888888888889,2,54.5,45,64
g1pre,V1,A_position,timepoint_position,signal,balanced_accuracy,0.11265432098765425,0.0028808054048340944,0.0020370370370370455,2,382.5,368,397
g1pre,V1,V_position,timepoint_position,signal,balanced_accuracy,0.16617283950617284,0.01606267256028704,0.011358024691358048,2,382.5,368,397
g2pre,A/RL/AL,A_position,timepoint_position,signal,balanced_accuracy,0.1318518518518518,0.0012221598687174888,0.0008641975308641969,2,131.0,113,149
g2pre,A/RL/AL,V_position,timepoint_position,signal,balanced_accuracy,0.1648765432098765,0.00427755954051124,0.00302469135802471,2,131.0,113,149
g2pre,AM/PM,A_position,timepoint_position,signal,balanced_accuracy,0.141358024691358,0.01370537193716339,0.007912800177265226,3,176.66666666666666,159,186
g2pre,AM/PM,V_position,timepoint_position,signal,balanced_accuracy,0.2239506172839506,0.04000133361593331,0.023094780731103125,3,176.66666666666666,159,186
g2pre,LM,A_position,timepoint_position,signal,balanced_accuracy,0.10518518518518516,0.053949628490529186,0.03814814814814815,2,36.5,2,71
g2pre,LM,V_position,timepoint_position,signal,balanced_accuracy,0.16302469135802464,0.11828761586515699,0.08364197530864195,2,36.5,2,71
g2pre,V1,A_position,timepoint_position,signal,balanced_accuracy,0.17098765432098764,0.0029681025383138785,0.002098765432098748,2,388.0,334,442
g2pre,V1,V_position,timepoint_position,signal,balanced_accuracy,0.3326543209876543,0.0030553996717937217,0.0021604938271604923,2,388.0,334,442
