group,session_index,session_name,area,n_neurons,decoding_included,min_decoding_neurons,signal_source
g1pre,0,Beta_20211029_002,A/RL/AL,169,True,40,signal
g1pre,3,Eta_20211111_002,A/RL/AL,123,True,40,signal
g1pre,4,Kappa_20221102_002,A/RL/AL,105,True,40,signal
g1pre,1,Delta_20211109_001,A/RL/AL,99,True,40,signal
g1pre,6,Theta_20220102_002,A/RL/AL,62,True,40,signal
g1pre,7,Zeta_20211202_002,A/RL/AL,50,True,40,signal
g1pre,2,Epsilon_20211111_003,A/RL/AL,44,True,40,signal
g1pre,5,Poli_20220217_008,A/RL/AL,3,False,40,signal
g1pre,0,Beta_20211029_002,AM/PM,96,True,40,signal
g1pre,5,Poli_20220217_008,AM/PM,11,False,40,signal
g1pre,4,Kappa_20221102_002,AM/PM,10,False,40,signal
g1pre,2,Epsilon_20211111_003,AM/PM,1,False,40,signal
g1pre,6,Theta_20220102_002,LM,64,True,40,signal
g1pre,3,Eta_20211111_002,LM,45,True,40,signal
g1pre,8,Zeta_20211202_011,V1,397,True,40,signal
g1pre,2,Epsilon_20211111_003,V1,368,True,40,signal
g1pre,3,Eta_20211111_002,V1,252,True,40,signal
g1pre,7,Zeta_20211202_002,V1,185,True,40,signal
g1pre,5,Poli_20220217_008,V1,146,True,40,signal
g1pre,6,Theta_20220102_002,V1,26,False,40,signal
g2pre,8,Quince_20230725_003,A/RL/AL,149,True,40,signal
g2pre,1,Diez_20220908_008,A/RL/AL,113,True,40,signal
g2pre,5,Once_20230721_003,A/RL/AL,111,True,40,signal
g2pre,9,Siette_20220802_003,A/RL/AL,77,True,40,signal
g2pre,2,Duo_000_002,A/RL/AL,71,True,40,signal
g2pre,11,Tres_20220119_001,A/RL/AL,64,True,40,signal
g2pre,4,Ocho_20220804_006,A/RL/AL,15,False,40,signal
g2pre,11,Tres_20220119_001,AM/PM,186,True,40,signal
g2pre,0,Dieciceis_20230725_002,AM/PM,185,True,40,signal
g2pre,1,Diez_20220908_008,AM/PM,159,True,40,signal
g2pre,5,Once_20230721_003,AM/PM,5,False,40,signal
g2pre,4,Ocho_20220804_006,LM,71,True,40,signal
g2pre,9,Siette_20220802_003,LM,2,False,40,signal
g2pre,2,Duo_000_002,LM,1,False,40,signal
g2pre,11,Tres_20220119_001,V1,442,True,40,signal
g2pre,6,Quatro_20220128_001,V1,334,True,40,signal
g2pre,3,Nueve_20220804_001,V1,331,True,40,signal
g2pre,10,Trece_20230721_001,V1,187,True,40,signal
g2pre,2,Duo_000_002,V1,177,True,40,signal
g2pre,7,Quince_20230725_001,V1,95,True,40,signal
g2pre,4,Ocho_20220804_006,V1,60,True,40,signal
g2pre,9,Siette_20220802_003,V1,10,False,40,signal
