,Group,Region,session_id,Predictor,FR
0,g1pre,V1,2,Adrive,0.012629885630610172
1,g1pre,V1,2,Adrive,-0.07200796553131997
2,g1pre,V1,2,Adrive,-0.13989689026365942
3,g1pre,V1,2,Adrive,0.0701459612585364
4,g1pre,V1,2,Adrive,0.18387069251427648
5,g1pre,V1,2,Adrive,0.07235533912205708
6,g1pre,V1,2,Adrive,0.08734794163222223
7,g1pre,V1,2,Adrive,-0.02879917375695893
8,g1pre,V1,2,Adrive,0.26684662184544017
9,g1pre,V1,2,Adrive,-0.07747903764891681
10,g1pre,V1,2,Adrive,-0.25363148570451244
11,g1pre,V1,2,Adrive,-0.059695897056861964
12,g1pre,V1,2,Adrive,0.06409541396102067
13,g1pre,V1,2,Adrive,-0.020847003476262494
14,g1pre,V1,2,Adrive,-0.10142646030716423
15,g1pre,V1,2,Adrive,-0.0933216806611542
16,g1pre,V1,2,Adrive,0.3273106953685114
17,g1pre,V1,2,Adrive,-0.05585593041090516
18,g1pre,V1,2,Adrive,-0.15658263184830537
19,g1pre,V1,2,Adrive,0.06253799271411319
20,g1pre,V1,2,Adrive,0.1436903278496508
21,g1pre,V1,2,Adrive,0.23132586878657108
22,g1pre,V1,2,Adrive,0.2248535643397034
23,g1pre,V1,2,Adrive,0.1796210730601019
24,g1pre,V1,2,Adrive,0.1286392136243857
25,g1pre,V1,2,Adrive,-0.023615087342420158
26,g1pre,V1,2,Adrive,0.0025471715884268133
27,g1pre,V1,2,Adrive,-0.07131533286787396
28,g1pre,V1,2,Adrive,-0.18491356205773915
29,g1pre,V1,2,Adrive,0.05627129715155638
30,g1pre,V1,2,Adrive,-0.0668614036283084
31,g1pre,V1,2,Adrive,-0.12249026032251492
32,g1pre,V1,2,Adrive,-0.030831750172043777
33,g1pre,V1,2,Adrive,-0.1466451550558991
34,g1pre,V1,2,Adrive,-0.04688039497848173
35,g1pre,V1,2,Adrive,-0.04646024178742006
36,g1pre,V1,2,Adrive,0.15329853347892697
37,g1pre,V1,2,Adrive,0.061564756898902444
38,g1pre,V1,2,Adrive,0.11357907762486442
39,g1pre,V1,2,Adrive,0.0643472431007677
40,g1pre,V1,2,Adrive,-0.0705327896126766
41,g1pre,V1,2,Adrive,-0.009939796446221272
42,g1pre,V1,2,Adrive,0.15489767943634372
43,g1pre,V1,2,Adrive,0.09299477685977948
44,g1pre,V1,2,Adrive,-0.004181387360286189
45,g1pre,V1,2,Adrive,-0.010624210190250997
46,g1pre,V1,2,Adrive,0.0016325349464001424
47,g1pre,V1,2,Adrive,0.0015348905944236432
48,g1pre,V1,2,Adrive,0.024738130192413818
49,g1pre,V1,2,Adrive,-0.03182394755932757
50,g1pre,V1,2,Adrive,-0.10610315584055184
51,g1pre,V1,2,Adrive,0.0440911427407706
52,g1pre,V1,2,Adrive,0.01349682178959992
53,g1pre,V1,2,Adrive,0.10635010795205047
54,g1pre,V1,2,Adrive,0.022687357083468297
55,g1pre,V1,2,Adrive,-0.05127851081964212
