,NeuronID,Group,BrainRegion,DSI (VIS),DSI (AUD),RCI (VISpref congruent),RCI (VISpref incongruent),RCI (AUDpref congruent),RCI (AUDpref incongruent),RCI (VISnonpref congruent),RCI (VISnonpref incongruent),RCI (AUDnonpref congruent),RCI (AUDnonpref incongruent),pref_VIS,prefVIS_MST+,prefVIS_MST-,nonpref_VIS,nonprefVIS_MST+,nonprefVIS_MST-,pref_AUD,prefAUD_MST+,prefAUD_MST-,nonpref_AUD,nonprefAUD_MST+,nonprefAUD_MST-,pref_VIS_idx,prefVIS_MST+_idx,prefVIS_MST-_idx,nonpref_VIS_idx,nonprefVIS_MST+_idx,nonprefVIS_MST-_idx,pref_AUD_idx,prefAUD_MST+_idx,prefAUD_MST-_idx,nonpref_AUD_idx,nonprefAUD_MST+_idx,nonprefAUD_MST-_idx,NeuronType
0,0,g1pre,A/RL/AL,0.036316323099849335,0.2646732096299088,0.7402977611590076,0.7598893812241141,-0.04993033417586456,-0.0258062624028716,0.8178748974207525,0.7779185888973303,0.14151977487304096,0.05279489456973931,0.08151201328935957,0.5462223770888984,0.5974418264443268,0.057031713749737305,0.569259917025556,0.45657915954727324,0.6290941353201801,0.569259917025556,0.5974418264443268,0.4107866719214858,0.5462223770888984,0.45657915954727324,7,5,2,6,1,4,0,1,2,3,5,4,A
1,1,g1pre,A/RL/AL,0.0003096343425759672,0.09260260854142033,0.37551766640396766,0.1695601641033375,0.22747325699362078,0.05587775047187313,0.3267651743790464,0.21649379718760367,0.3700149299140713,0.21764464173307682,0.14414439634765153,0.3175000364663478,0.20300753475404584,0.14393393853086262,0.28365516724097894,0.22347588672441066,0.19982290259952196,0.3175000364663478,0.22347588672441066,0.1304354547623449,0.28365516724097894,0.20300753475404584,7,5,2,6,1,4,3,5,4,0,1,2,A
2,2,g1pre,A/RL/AL,0.283083823577049,0.18235998135722323,-0.20688820864863527,-0.3234570778249609,0.37695872999578905,0.14449945479405862,-0.313312209674057,-0.29375972899511366,0.4111119032714389,0.5254892752356479,0.8413752278508696,0.5529133596446795,0.43010571693901356,0.6131255649496744,0.3205832065569003,0.3346942677574389,0.25018022275538326,0.5529133596446795,0.3346942677574389,0.1337864374290643,0.3205832065569003,0.43010571693901356,7,5,2,6,1,4,3,5,4,0,1,2,M
3,3,g1pre,A/RL/AL,0.08536382089201279,0.32645256460676825,0.7120888063541151,0.6739196729783334,0.1234184915687961,-0.22066246177621074,0.6769668500787664,0.7327260517936995,0.05303205650097382,0.4128659964956517,0.10115442263769649,0.6015235202151327,0.5192719830986742,-0.04622320769128931,0.23995923335267227,0.29966316096901147,0.46935705497485913,0.6015235202151327,0.29966316096901147,0.21578991857725355,0.23995923335267227,0.5192719830986742,6,1,4,7,5,2,0,1,2,3,5,4,A
4,4,g1pre,A/RL/AL,0.034769366842998764,0.17130957747808107,0.643071610827159,0.6306168855299101,0.23313649710893422,0.2004827260351128,0.6438809686689506,0.68828911352912,0.3235157109241186,0.40432241249930423,0.11528453331783314,0.5306967716996679,0.5089158093709126,0.09149272804561624,0.42233955833148723,0.4955430927527922,0.33002995716429273,0.5306967716996679,0.4955430927527922,0.21586904749850627,0.42233955833148723,0.5089158093709126,6,1,4,7,5,2,0,1,2,3,5,4,A
5,5,g1pre,A/RL/AL,0.1865574430340677,0.12083156227511838,0.11709351559275262,0.03569591727972374,0.1748848892508957,0.3156504098296773,0.3154371117079785,0.5458855061916752,0.28932079718452647,0.3379043413358447,0.22000588393878778,0.2783614693976011,0.23629392414282277,0.11040249155678858,0.21214637413542517,0.37582947444334464,0.19549170880623779,0.2783614693976011,0.37582947444334464,0.11693599946575543,0.21214637413542517,0.23629392414282277,6,1,4,7,5,2,0,1,2,3,5,4,M
6,6,g1pre,A/RL/AL,0.06443752036140009,0.17573361029653667,0.2145142735655324,-0.11941313924848614,-0.6263403023955253,-0.642040933806431,0.5410249852036116,0.8490461675028276,0.5671069758852803,0.7525255316472345,0.043661342616615285,0.06750895913999573,0.03434621524701166,-0.010781363730776136,0.03619881332988147,0.1320618294816662,0.1575540241420289,0.03619881332988147,0.03434621524701166,0.0186484764133225,0.06750895913999573,0.1320618294816662,6,1,4,7,5,2,3,5,4,0,1,2,
7,7,g1pre,A/RL/AL,0.07116017446768728,0.09748231262429928,0.6728211973787277,0.5240111215514507,0.41687940588191474,0.13211800352743924,0.9200502058005713,0.9380240026776739,0.4884653042963644,0.6309631886444502,-0.04473594494187394,0.22872886746932797,0.14323460213345882,-0.003926827841295804,0.09430551610947487,0.12279409674094431,0.09413399089363793,0.22872886746932797,0.12279409674094431,0.032409585461610116,0.09430551610947487,0.14323460213345882,6,1,4,7,5,2,0,1,2,3,5,4,M
8,8,g1pre,A/RL/AL,0.1954839775288668,0.05693046676166265,0.20077898588599116,0.12439383077194427,0.26489768519402307,0.2060101691541316,0.5263000343025191,0.5757867258756849,0.3790167791533361,0.4250984069237485,0.23004598029142068,0.34562952430336874,0.2954093862330793,0.10386262805582434,0.3346538827186526,0.38580912146791907,0.1944859625603273,0.3346538827186526,0.2954093862330793,0.15563997368718094,0.34562952430336874,0.38580912146791907,6,1,4,7,5,2,3,5,4,0,1,2,M
9,9,g1pre,A/RL/AL,0.02490926295350676,0.05067084988883996,0.592795315339889,0.3218513303766279,-0.0792561690679488,-0.46047419798365086,0.5944846002029864,0.3397915011072264,-0.11128341327801007,-0.3559378175085317,0.08313159211925458,0.32517211975303667,0.1620405827828179,0.06938430566280628,0.2728187559103797,0.14080476575681258,0.38115272072701567,0.32517211975303667,0.14080476575681258,0.34114245509090296,0.2728187559103797,0.1620405827828179,7,5,2,6,1,4,3,5,4,0,1,2,A
