,NeuronID,Group,BrainRegion,DSI (VIS),DSI (AUD),RCI (VISpref congruent),RCI (VISpref incongruent),RCI (AUDpref congruent),RCI (AUDpref incongruent),RCI (VISnonpref congruent),RCI (VISnonpref incongruent),RCI (AUDnonpref congruent),RCI (AUDnonpref incongruent),pref_VIS,prefVIS_MST+,prefVIS_MST-,nonpref_VIS,nonprefVIS_MST+,nonprefVIS_MST-,pref_AUD,prefAUD_MST+,prefAUD_MST-,nonpref_AUD,nonprefAUD_MST+,nonprefAUD_MST-,pref_VIS_idx,prefVIS_MST+_idx,prefVIS_MST-_idx,nonpref_VIS_idx,nonprefVIS_MST+_idx,nonprefVIS_MST-_idx,pref_AUD_idx,prefAUD_MST+_idx,prefAUD_MST-_idx,nonpref_AUD_idx,nonprefAUD_MST+_idx,nonprefAUD_MST-_idx,NeuronType
0,0,g1pre,A/RL/AL,0.021052679059502862,0.27420070526579426,0.8012354225782449,0.8119919046206442,-0.05310449265310429,-0.05446418266956426,0.8546856028199287,0.8162147276563513,0.12882815444007747,0.033779288217251124,0.05939032787001173,0.5382043606845032,0.57239446576003,0.04496951546809574,0.5739576705611064,0.44440065978740584,0.6383359058848882,0.5739576705611064,0.57239446576003,0.4153586038244107,0.5382043606845032,0.44440065978740584,7,5,2,6,1,4,0,1,2,3,5,4,A
1,1,g1pre,A/RL/AL,0.0243031740145272,0.07687594900195155,0.3752997843137017,0.1687618665457457,0.2411948793731418,0.08389489639141029,0.41725495495382936,0.2883317913117065,0.39449937332505625,0.20434619332009857,0.13774387025744575,0.30324803849712306,0.19367468409843724,0.12116578180451631,0.2946791329983763,0.21934621613295574,0.1853908425306116,0.30324803849712306,0.21934621613295574,0.12795158112771304,0.2946791329983763,0.19367468409843724,7,5,2,6,1,4,3,5,4,0,1,2,M
2,2,g1pre,A/RL/AL,0.2825496143590264,0.2459614384229039,-0.2089477910071855,-0.33562047430463354,0.35075947012223385,0.12034159149341736,-0.3230512383289639,-0.290770020866538,0.48679361058560555,0.5887798074492164,0.8363319585192591,0.5472380595416586,0.4160177540061948,0.6096801878428256,0.3119472898848881,0.33499652138772573,0.263029159228442,0.5472380595416586,0.33499652138772573,0.10767691035904618,0.3119472898848881,0.4160177540061948,7,5,2,6,1,4,3,5,4,0,1,2,M
3,3,g1pre,A/RL/AL,0.05258934105389562,0.38154078627003885,0.7633764042148314,0.7336336765500031,0.059977997288922634,-0.25475502715283305,0.6704122126363664,0.7538349902344862,0.017075101267839173,0.4138096839536605,0.07474700953279009,0.5570328371453342,0.48648767332547194,-0.041181263620717536,0.20871430411330363,0.2934013292501787,0.49399433241864205,0.5570328371453342,0.2934013292501787,0.20170633021965753,0.20871430411330363,0.48648767332547194,6,1,4,7,5,2,0,1,2,3,5,4,A
4,4,g1pre,A/RL/AL,0.024215365729496657,0.1774545052509965,0.6634779119070409,0.6486208948290505,0.22949814972031227,0.17372817493127954,0.6271965598150523,0.6744152317450778,0.2856490680599019,0.3866914473808144,0.11543353312807274,0.5706048412456532,0.5415977554678336,0.09877038746497499,0.43110877575291295,0.5079557072130232,0.35758661862023616,0.5706048412456532,0.5079557072130232,0.23953889391556676,0.43110877575291295,0.5415977554678336,6,1,4,7,5,2,0,1,2,3,5,4,A
5,5,g1pre,A/RL/AL,0.21753708807966834,0.11737838311508915,0.12043874444945318,0.07627843235748889,0.09334020535283319,0.23359228770103466,0.3925557634827766,0.5516711328665855,0.19951459906874514,0.21577181931282982,0.25273173734155213,0.32194509328659754,0.2944715459737113,0.12415941314452104,0.28463338026936674,0.4297170924590027,0.2669751562576918,0.32194509328659754,0.4297170924590027,0.18994755520293954,0.28463338026936674,0.2944715459737113,6,1,4,7,5,2,0,1,2,3,5,4,M
6,6,g1pre,A/RL/AL,0.004083799971815831,0.17661144762062927,0.23369244018644017,-0.38268562634553627,-0.72243464580643,-0.8239028328403742,-0.11112759501847508,0.5693376377957039,0.9943461721621056,0.9973144482993176,0.030341019645075375,0.04884655786611934,0.013546063675906635,-0.028262427067986647,0.022609186947713716,0.10298854607639796,0.140301540966451,0.022609186947713716,0.013546063675906635,-0.00013847647540015168,0.04884655786611934,0.10298854607639796,6,1,4,7,5,2,3,5,4,0,1,2,
7,7,g1pre,A/RL/AL,0.06065982969514385,0.11316052173000281,0.7070709286673476,0.5632921520715093,0.45835136657927245,0.21403111020791107,0.9095079851912595,0.9321330700859547,0.7486639954042233,0.8190171578480366,-0.03961338559653657,0.23085062411283994,0.14180485904661036,-0.004651919183494234,0.09816199634985548,0.13243750535319726,0.085740602669943,0.23085062411283994,0.13243750535319726,0.014108853404976042,0.09816199634985548,0.14180485904661036,6,1,4,7,5,2,0,1,2,3,5,4,M
8,8,g1pre,A/RL/AL,0.1827180893154098,0.0743983351543655,0.18185088495895388,0.08733486660636496,0.2873841344792276,0.19330025653318908,0.5182280018693872,0.5576680785808414,0.4298999592406058,0.47686076690922985,0.22156026457775385,0.3200531418405573,0.2639634099246538,0.10229705643427069,0.32237294029118035,0.3602382094179664,0.1784456291742366,0.32237294029118035,0.2639634099246538,0.1276049474855404,0.3200531418405573,0.3602382094179664,6,1,4,7,5,2,3,5,4,0,1,2,V
9,9,g1pre,A/RL/AL,0.010064817226184542,0.07857981699550946,0.655987698977514,0.38202500522867106,-0.08862755548076717,-0.38349799987530575,0.6179964026122645,0.47045270239287856,-0.1096003578659951,-0.3706386707869112,0.07150497774348438,0.34420677169660613,0.15991208070867377,0.06598002719233767,0.2794618882426503,0.18321405798374862,0.4111524094297929,0.34420677169660613,0.18321405798374862,0.3482604849893716,0.2794618882426503,0.15991208070867377,7,5,2,6,1,4,3,5,4,0,1,2,A
