,Group,Type,NeighborTYPE,count,prob,mean_dist
0,DRpre,A,A,56,0.20512820512820512,56.74119439261948
1,DRpre,A,M,122,0.4468864468864469,37.971138028231586
2,DRpre,A,V,95,0.34798534798534797,46.86489850659505
3,DRpre,M,A,114,0.18780889621087316,56.1423470188562
4,DRpre,M,M,268,0.4415156507413509,38.283426007501895
5,DRpre,M,V,225,0.37067545304777594,44.845829715085735
6,DRpre,V,A,93,0.1962025316455696,54.494760831238175
7,DRpre,V,M,190,0.4008438818565401,36.29316031181194
8,DRpre,V,V,191,0.4029535864978903,40.34830528004316
9,DRpre,A,A,58,0.21245421245421245,57.60734830491147
10,DRpre,A,M,113,0.4139194139194139,42.54192491543849
11,DRpre,A,V,102,0.37362637362637363,43.38732920252262
12,DRpre,M,A,113,0.18616144975288304,56.36961266005917
13,DRpre,M,M,298,0.49093904448105435,35.35741021697665
14,DRpre,M,V,196,0.3228995057660626,44.22759947851434
15,DRpre,V,A,90,0.189873417721519,52.71509212163692
16,DRpre,V,M,214,0.45147679324894513,40.09689255071342
17,DRpre,V,V,170,0.35864978902953587,42.11095942542583
18,DRpre,A,A,58,0.21245421245421245,53.75418003451588
19,DRpre,A,M,122,0.4468864468864469,38.62540469918232
20,DRpre,A,V,93,0.34065934065934067,47.139423328244966
21,DRpre,M,A,120,0.19769357495881384,55.50741215272994
22,DRpre,M,M,264,0.43492586490939045,37.81204340528526
23,DRpre,M,V,223,0.3673805601317957,45.25737473910368
24,DRpre,V,A,89,0.1877637130801688,56.9784826489409
25,DRpre,V,M,203,0.4282700421940928,37.23584809129651
26,DRpre,V,V,182,0.38396624472573837,41.575109303420646
27,DRpre,A,A,57,0.2087912087912088,58.44812924025124
28,DRpre,A,M,114,0.4175824175824176,42.81117358271598
29,DRpre,A,V,102,0.37362637362637363,48.7684752228765
30,DRpre,M,A,101,0.16639209225700163,54.04944587972125
31,DRpre,M,M,308,0.5074135090609555,35.253374740611555
32,DRpre,M,V,198,0.3261943986820428,42.46679595038369
33,DRpre,V,A,80,0.16877637130801687,55.700273521794436
34,DRpre,V,M,195,0.41139240506329117,39.28834233684262
35,DRpre,V,V,199,0.41983122362869196,40.97832671533125
36,DRpre,A,A,51,0.18681318681318682,57.783521358856554
37,DRpre,A,M,133,0.48717948717948717,35.99966666124479
38,DRpre,A,V,89,0.326007326007326,43.578510112115445
39,DRpre,M,A,126,0.20757825370675453,55.79533298520063
40,DRpre,M,M,281,0.46293245469522243,38.01821465810461
41,DRpre,M,V,200,0.32948929159802304,43.9167747605314
42,DRpre,V,A,99,0.2088607594936709,54.719513473301426
43,DRpre,V,M,201,0.4240506329113924,36.38889322111193
44,DRpre,V,V,174,0.3670886075949367,41.902113170259035
45,DRpre,A,A,71,0.2600732600732601,52.69795303557731
46,DRpre,A,M,122,0.4468864468864469,38.6420086206487
47,DRpre,A,V,80,0.29304029304029305,44.645876257703314
48,DRpre,M,A,112,0.18451400329489293,59.96162419091724
49,DRpre,M,M,295,0.48599670510708404,36.9518865277207
