,Group,Type,Area,NeighborTYPE,count,prob,mean_dist
0,DRpre,A,A/RL/AL,A,28,0.2616822429906542,60.33232062285932
1,DRpre,A,A/RL/AL,M,53,0.4953271028037383,36.869010220392965
2,DRpre,A,A/RL/AL,V,26,0.24299065420560748,55.22586693409911
3,DRpre,A,AM/PM,A,0,0.0,62.26718471253845
4,DRpre,A,AM/PM,M,5,0.5,27.973584247577588
5,DRpre,A,AM/PM,V,5,0.5,24.97369844898854
6,DRpre,A,LM,A,5,0.29411764705882354,59.700307392437736
7,DRpre,A,LM,M,9,0.5294117647058824,51.35129232667167
8,DRpre,A,LM,V,3,0.17647058823529413,66.79867209093297
9,DRpre,A,V1,A,20,0.14388489208633093,58.78632082872673
10,DRpre,A,V1,M,58,0.4172661870503597,41.67368691310802
11,DRpre,A,V1,V,61,0.43884892086330934,37.08718639928466
12,DRpre,M,A/RL/AL,A,48,0.21052631578947367,52.638541846697414
13,DRpre,M,A/RL/AL,M,128,0.5614035087719298,37.12386780706993
14,DRpre,M,A/RL/AL,V,52,0.22807017543859648,55.39325228791932
15,DRpre,M,AM/PM,A,2,0.044444444444444446,60.376569115730156
16,DRpre,M,AM/PM,M,16,0.35555555555555557,28.945014541512663
17,DRpre,M,AM/PM,V,27,0.6,22.776149310943044
18,DRpre,M,LM,A,7,0.2916666666666667,51.264799096055164
19,DRpre,M,LM,M,16,0.6666666666666666,44.04085089220032
20,DRpre,M,LM,V,1,0.041666666666666664,67.89455076810931
21,DRpre,M,V1,A,54,0.17419354838709677,54.54566964864362
22,DRpre,M,V1,M,126,0.4064516129032258,39.30972178224347
23,DRpre,M,V1,V,130,0.41935483870967744,39.74444808119179
24,DRpre,V,A/RL/AL,A,20,0.18867924528301888,53.40406833639132
25,DRpre,V,A/RL/AL,M,55,0.5188679245283019,38.36796864376349
26,DRpre,V,A/RL/AL,V,31,0.29245283018867924,50.423282171813554
27,DRpre,V,AM/PM,A,6,0.14285714285714285,62.10551565529158
28,DRpre,V,AM/PM,M,26,0.6190476190476191,25.4455865937778
29,DRpre,V,AM/PM,V,10,0.23809523809523808,35.43105145671965
30,DRpre,V,LM,A,3,0.2,62.30358801125933
31,DRpre,V,LM,M,5,0.3333333333333333,60.16178922950228
32,DRpre,V,LM,V,7,0.4666666666666667,60.933690982648955
33,DRpre,V,V1,A,57,0.1832797427652733,53.64917146570999
34,DRpre,V,V1,M,117,0.3762057877813505,40.351391758366475
35,DRpre,V,V1,V,137,0.4405144694533762,37.091348829437514
36,DRpre,A,A/RL/AL,A,28,0.28,67.23536216640139
37,DRpre,A,A/RL/AL,M,53,0.53,39.99936034196553
38,DRpre,A,A/RL/AL,V,19,0.19,57.478368327758545
39,DRpre,A,AM/PM,A,1,0.125,65.88086794008845
40,DRpre,A,AM/PM,M,4,0.5,34.95196917680297
41,DRpre,A,AM/PM,V,3,0.375,35.04975653464483
42,DRpre,A,LM,A,9,0.391304347826087,63.93537792713447
43,DRpre,A,LM,M,9,0.391304347826087,64.20512389760464
44,DRpre,A,LM,V,5,0.21739130434782608,69.76092331201535
45,DRpre,A,V1,A,33,0.2323943661971831,50.90034551794689
46,DRpre,A,V1,M,66,0.4647887323943662,37.0496332313085
47,DRpre,A,V1,V,43,0.3028169014084507,41.149029091126685
48,DRpre,M,A/RL/AL,A,47,0.2025862068965517,53.4791400856914
49,DRpre,M,A/RL/AL,M,126,0.5431034482758621,39.24004664738519
50,DRpre,M,A/RL/AL,V,59,0.2543103448275862,50.00866878888934
51,DRpre,M,AM/PM,A,4,0.08695652173913043,54.965595413130025
52,DRpre,M,AM/PM,M,23,0.5,23.094876313565802
53,DRpre,M,AM/PM,V,19,0.41304347826086957,26.67584932665809
54,DRpre,M,LM,A,6,0.2857142857142857,43.73043053034168
55,DRpre,M,LM,M,8,0.38095238095238093,51.168037452837716
56,DRpre,M,LM,V,7,0.3333333333333333,42.6331774868728
57,DRpre,M,V1,A,60,0.19480519480519481,55.1542069051153
58,DRpre,M,V1,M,114,0.37012987012987014,38.3695421366646
59,DRpre,M,V1,V,134,0.43506493506493504,37.27219609925327
60,DRpre,V,A/RL/AL,A,23,0.21100917431192662,59.206934368051186
61,DRpre,V,A/RL/AL,M,56,0.5137614678899083,35.03162020435637
62,DRpre,V,A/RL/AL,V,30,0.27522935779816515,51.49937309950534
63,DRpre,V,AM/PM,A,3,0.06976744186046512,75.78347531007167
64,DRpre,V,AM/PM,M,21,0.4883720930232558,30.87211503244018
65,DRpre,V,AM/PM,V,19,0.4418604651162791,33.63598676109919
66,DRpre,V,LM,A,5,0.4166666666666667,49.9844360790615
67,DRpre,V,LM,M,4,0.3333333333333333,42.27604237330952
68,DRpre,V,LM,V,3,0.25,69.09445809624147
69,DRpre,V,V1,A,48,0.15483870967741936,60.34559974099799
70,DRpre,V,V1,M,118,0.38064516129032255,41.123582240659836
71,DRpre,V,V1,V,144,0.4645161290322581,37.76477705181741
72,DRpre,A,A/RL/AL,A,32,0.3076923076923077,48.66860008587419
73,DRpre,A,A/RL/AL,M,46,0.4423076923076923,33.478172795094956
74,DRpre,A,A/RL/AL,V,26,0.25,50.682733936534305
75,DRpre,A,AM/PM,A,0,0.0,78.03863584809996
76,DRpre,A,AM/PM,M,5,0.5555555555555556,35.008163569799876
77,DRpre,A,AM/PM,V,4,0.4444444444444444,21.336370600977986
78,DRpre,A,LM,A,3,0.15789473684210525,59.219264358999
79,DRpre,A,LM,M,9,0.47368421052631576,44.78600129427876
80,DRpre,A,LM,V,7,0.3684210526315789,58.862011637053335
81,DRpre,A,V1,A,24,0.1702127659574468,53.381467770913794
82,DRpre,A,V1,M,61,0.4326241134751773,37.561747223883344
83,DRpre,A,V1,V,56,0.3971631205673759,41.776734436462746
84,DRpre,M,A/RL/AL,A,58,0.25,58.29365406468291
85,DRpre,M,A/RL/AL,M,118,0.5086206896551724,37.49624334902305
86,DRpre,M,A/RL/AL,V,56,0.2413793103448276,51.84736758709582
87,DRpre,M,AM/PM,A,6,0.14285714285714285,47.509518568560644
88,DRpre,M,AM/PM,M,9,0.21428571428571427,32.58875670392983
89,DRpre,M,AM/PM,V,27,0.6428571428571429,25.873550366996977
90,DRpre,M,LM,A,9,0.42857142857142855,52.56529308770591
91,DRpre,M,LM,M,10,0.47619047619047616,56.331427526295
92,DRpre,M,LM,V,2,0.09523809523809523,70.47096094714354
93,DRpre,M,V1,A,65,0.20833333333333334,56.79000419889146
94,DRpre,M,V1,M,116,0.3717948717948718,39.456277193532614
95,DRpre,M,V1,V,131,0.4198717948717949,38.361960356633496
96,DRpre,V,A/RL/AL,A,25,0.23809523809523808,69.39245412917664
97,DRpre,V,A/RL/AL,M,45,0.42857142857142855,41.38467902679947
98,DRpre,V,A/RL/AL,V,35,0.3333333333333333,54.219883575004815
99,DRpre,V,AM/PM,A,6,0.13043478260869565,46.04094263529728
100,DRpre,V,AM/PM,M,29,0.6304347826086957,29.61182771905636
101,DRpre,V,AM/PM,V,11,0.2391304347826087,30.845498401554547
102,DRpre,V,LM,A,9,0.5625,47.26329973842481
103,DRpre,V,LM,M,4,0.25,51.17767175918548
104,DRpre,V,LM,V,3,0.1875,72.01307016582878
105,DRpre,V,V1,A,53,0.17263843648208468,57.55014685552643
106,DRpre,V,V1,M,125,0.40716612377850164,38.08739370952998
107,DRpre,V,V1,V,129,0.4201954397394137,37.503720405613905
108,DRpre,A,A/RL/AL,A,20,0.19607843137254902,58.25060153594246
109,DRpre,A,A/RL/AL,M,54,0.5294117647058824,41.88570178267212
110,DRpre,A,A/RL/AL,V,28,0.27450980392156865,60.36804219853997
111,DRpre,A,AM/PM,A,2,0.2,56.058500585251956
112,DRpre,A,AM/PM,M,2,0.2,40.79178597205855
113,DRpre,A,AM/PM,V,6,0.6,28.20062650170122
114,DRpre,A,LM,A,8,0.4,60.694442138890814
115,DRpre,A,LM,M,8,0.4,56.76385904115165
116,DRpre,A,LM,V,4,0.2,69.60107474570277
117,DRpre,A,V1,A,22,0.15602836879432624,61.12667371708491
118,DRpre,A,V1,M,58,0.41134751773049644,40.91349761500702
119,DRpre,A,V1,V,61,0.4326241134751773,44.50278786299662
120,DRpre,M,A/RL/AL,A,54,0.23376623376623376,52.49833730710684
121,DRpre,M,A/RL/AL,M,118,0.5108225108225108,37.19191666486605
