,Group,Type,Area,Neighborhood,count,prob,mean_dist
0,DRpre,A,A/RL/AL,A,19,0.20430107526881722,0.21590599675451083
1,DRpre,A,A/RL/AL,M,50,0.5376344086021505,0.4971536734268648
2,DRpre,A,A/RL/AL,V,24,0.25806451612903225,0.2869403298186244
3,DRpre,A,AM/PM,A,0,0.0,0.04725048589105014
4,DRpre,A,AM/PM,M,4,0.36363636363636365,0.44147647514901817
5,DRpre,A,AM/PM,V,7,0.6363636363636364,0.5112730389599317
6,DRpre,A,LM,A,15,0.5357142857142857,0.4942812593787309
7,DRpre,A,LM,M,11,0.39285714285714285,0.3912830801763786
8,DRpre,A,LM,V,2,0.07142857142857142,0.11443566044489054
9,DRpre,A,V1,A,13,0.09219858156028368,0.1699003937495536
10,DRpre,A,V1,M,70,0.49645390070921985,0.41455276929698487
11,DRpre,A,V1,V,58,0.41134751773049644,0.41554683695346156
12,DRpre,M,A/RL/AL,A,27,0.11790393013100436,0.18963717045770032
13,DRpre,M,A/RL/AL,M,157,0.6855895196506551,0.5668889782446741
14,DRpre,M,A/RL/AL,V,45,0.1965065502183406,0.24347385129762564
15,DRpre,M,AM/PM,A,3,0.06,0.10695163836458352
16,DRpre,M,AM/PM,M,38,0.76,0.6090194141331139
17,DRpre,M,AM/PM,V,9,0.18,0.2840289475023026
18,DRpre,M,LM,A,12,0.5454545454545454,0.49757551590719373
19,DRpre,M,LM,M,8,0.36363636363636365,0.3907047795087475
20,DRpre,M,LM,V,2,0.09090909090909091,0.11171970458405883
21,DRpre,M,V1,A,50,0.16339869281045752,0.20801472889701947
22,DRpre,M,V1,M,131,0.42810457516339867,0.39866363984063785
23,DRpre,M,V1,V,125,0.4084967320261438,0.3933216312623427
24,DRpre,V,A/RL/AL,A,23,0.19327731092436976,0.2165823109715078
25,DRpre,V,A/RL/AL,M,66,0.5546218487394958,0.4678706069727722
26,DRpre,V,A/RL/AL,V,30,0.25210084033613445,0.31554708205572
27,DRpre,V,AM/PM,A,4,0.1111111111111111,0.16146620287739866
28,DRpre,V,AM/PM,M,20,0.5555555555555556,0.47111287590038775
29,DRpre,V,AM/PM,V,12,0.3333333333333333,0.36742092122221365
30,DRpre,V,LM,A,2,0.3333333333333333,0.4064887770115028
31,DRpre,V,LM,M,3,0.5,0.4136157907814464
32,DRpre,V,LM,V,1,0.16666666666666666,0.17989543220705073
33,DRpre,V,V1,A,39,0.12460063897763578,0.19112098561171076
34,DRpre,V,V1,M,125,0.3993610223642173,0.39616994352428325
35,DRpre,V,V1,V,149,0.476038338658147,0.41270907086400604
36,DRpre,A,A/RL/AL,A,10,0.10309278350515463,0.17894095515566272
37,DRpre,A,A/RL/AL,M,56,0.5773195876288659,0.48044006756474916
38,DRpre,A,A/RL/AL,V,31,0.31958762886597936,0.3406189772795882
39,DRpre,A,AM/PM,A,4,0.4,0.31425780073536524
40,DRpre,A,AM/PM,M,2,0.2,0.2902978719443372
41,DRpre,A,AM/PM,V,4,0.4,0.39544432732029755
42,DRpre,A,LM,A,10,0.4166666666666667,0.38394723475911213
43,DRpre,A,LM,M,6,0.25,0.3262826025033522
44,DRpre,A,LM,V,8,0.3333333333333333,0.2897701627375357
45,DRpre,A,V1,A,11,0.07746478873239436,0.18506765821437496
46,DRpre,A,V1,M,62,0.43661971830985913,0.4046679884483681
47,DRpre,A,V1,V,69,0.4859154929577465,0.4102643533372569
48,DRpre,M,A/RL/AL,A,33,0.13865546218487396,0.1936381298178632
49,DRpre,M,A/RL/AL,M,158,0.6638655462184874,0.5635744829718097
50,DRpre,M,A/RL/AL,V,47,0.19747899159663865,0.24278738721032717
51,DRpre,M,AM/PM,A,3,0.075,0.10109130543126185
52,DRpre,M,AM/PM,M,20,0.5,0.4507943228964854
53,DRpre,M,AM/PM,V,17,0.425,0.44811437167225276
54,DRpre,M,LM,A,9,0.6428571428571429,0.5130932476119442
55,DRpre,M,LM,M,1,0.07142857142857142,0.20794681474404528
56,DRpre,M,LM,V,4,0.2857142857142857,0.2789599376440106
57,DRpre,M,V1,A,43,0.1365079365079365,0.19606798149733648
58,DRpre,M,V1,M,152,0.48253968253968255,0.43382196477413215
59,DRpre,M,V1,V,120,0.38095238095238093,0.37011005372853134
60,DRpre,V,A/RL/AL,A,22,0.20754716981132076,0.2702384510554131
61,DRpre,V,A/RL/AL,M,54,0.5094339622641509,0.4417303904111234
62,DRpre,V,A/RL/AL,V,30,0.2830188679245283,0.2880311585334635
63,DRpre,V,AM/PM,A,2,0.0425531914893617,0.09213691294254513
64,DRpre,V,AM/PM,M,22,0.46808510638297873,0.4270743328396002
65,DRpre,V,AM/PM,V,23,0.48936170212765956,0.4807887542178546
66,DRpre,V,LM,A,10,0.5555555555555556,0.4224711375835727
67,DRpre,V,LM,M,4,0.2222222222222222,0.2904903824285431
68,DRpre,V,LM,V,4,0.2222222222222222,0.28703847998788423
69,DRpre,V,V1,A,49,0.1617161716171617,0.2064396327578658
70,DRpre,V,V1,M,125,0.41254125412541254,0.37747438336048833
71,DRpre,V,V1,V,129,0.42574257425742573,0.4160859838816459
72,DRpre,A,A/RL/AL,A,22,0.22448979591836735,0.24856862879100383
73,DRpre,A,A/RL/AL,M,52,0.5306122448979592,0.47467553406498436
74,DRpre,A,A/RL/AL,V,24,0.24489795918367346,0.2767558371440118
75,DRpre,A,AM/PM,A,0,0.0,0.0
76,DRpre,A,AM/PM,M,4,0.5714285714285714,0.5903579904453762
77,DRpre,A,AM/PM,V,3,0.42857142857142855,0.40964200955462393
78,DRpre,A,LM,A,11,0.4230769230769231,0.40916988003750265
79,DRpre,A,LM,M,9,0.34615384615384615,0.39583329219801766
80,DRpre,A,LM,V,6,0.23076923076923078,0.19499682776447974
81,DRpre,A,V1,A,21,0.14788732394366197,0.18710917080401349
82,DRpre,A,V1,M,57,0.4014084507042254,0.39606532661307503
83,DRpre,A,V1,V,64,0.4507042253521127,0.41682550258291146
84,DRpre,M,A/RL/AL,A,33,0.14347826086956522,0.19173521534024726
85,DRpre,M,A/RL/AL,M,158,0.6869565217391305,0.5760409185979225
86,DRpre,M,A/RL/AL,V,39,0.16956521739130434,0.23222386606183018
87,DRpre,M,AM/PM,A,3,0.06,0.08112412896981024
88,DRpre,M,AM/PM,M,29,0.58,0.5154300883880052
89,DRpre,M,AM/PM,V,18,0.36,0.4034457826421845
90,DRpre,M,LM,A,10,0.5,0.425356095984891
91,DRpre,M,LM,M,7,0.35,0.3713698180737265
92,DRpre,M,LM,V,3,0.15,0.2032740859413825
93,DRpre,M,V1,A,41,0.13355048859934854,0.18592898179507097
94,DRpre,M,V1,M,137,0.44625407166123776,0.40181272921018074
95,DRpre,M,V1,V,129,0.4201954397394137,0.4122582889947482
96,DRpre,V,A/RL/AL,A,20,0.17699115044247787,0.22969157932162662
97,DRpre,V,A/RL/AL,M,61,0.5398230088495575,0.48079508473008403
98,DRpre,V,A/RL/AL,V,32,0.2831858407079646,0.2895133359482894
99,DRpre,V,AM/PM,A,1,0.025,0.08942452680588306
100,DRpre,V,AM/PM,M,30,0.75,0.5764881174228388
101,DRpre,V,AM/PM,V,9,0.225,0.3340873557712781
102,DRpre,V,LM,A,7,0.7,0.466019145881706
103,DRpre,V,LM,M,2,0.2,0.35406134690291163
104,DRpre,V,LM,V,1,0.1,0.17991950721538236
105,DRpre,V,V1,A,36,0.1157556270096463,0.18543375728162478
