,Group,Type,Neighborhood,count,prob,mean_dist
0,NRpre,A,A,132,0.25287356321839083,0.2812587886375935
1,NRpre,A,M,146,0.2796934865900383,0.29834836789395386
2,NRpre,A,V,244,0.4674329501915709,0.4203928434684527
3,NRpre,M,A,139,0.21855345911949686,0.24296990189570047
4,NRpre,M,M,151,0.23742138364779874,0.2908810618060429
5,NRpre,M,V,346,0.5440251572327044,0.4661490362982566
6,NRpre,V,A,170,0.16283524904214558,0.22022051175249138
7,NRpre,V,M,259,0.24808429118773948,0.29387204525106714
8,NRpre,V,V,615,0.5890804597701149,0.4859074429964415
9,NRpre,A,A,148,0.2835249042145594,0.29677144525808696
10,NRpre,A,M,137,0.2624521072796935,0.2843117028681693
11,NRpre,A,V,237,0.4540229885057471,0.4189168518737438
12,NRpre,M,A,129,0.2028301886792453,0.23588075797502397
13,NRpre,M,M,156,0.24528301886792453,0.2908646917824394
14,NRpre,M,V,351,0.5518867924528302,0.47325455024253665
15,NRpre,V,A,168,0.16091954022988506,0.2092738610543101
16,NRpre,V,M,257,0.24616858237547892,0.29048721828592555
17,NRpre,V,V,619,0.592911877394636,0.5002389206597644
18,NRpre,A,A,146,0.2796934865900383,0.2839879685217078
19,NRpre,A,M,131,0.2509578544061303,0.27901068420223185
20,NRpre,A,V,245,0.46934865900383144,0.4370013472760603
21,NRpre,M,A,119,0.1871069182389937,0.22537847570169803
22,NRpre,M,M,178,0.279874213836478,0.3040004347942468
23,NRpre,M,V,339,0.5330188679245284,0.47062108950405507
24,NRpre,V,A,174,0.16666666666666666,0.21716749729768026
25,NRpre,V,M,256,0.24521072796934865,0.27740560395893793
26,NRpre,V,V,614,0.5881226053639846,0.5054268987433818
27,NRpre,A,A,122,0.23371647509578544,0.2631666154797053
28,NRpre,A,M,152,0.29118773946360155,0.3083201349987223
29,NRpre,A,V,248,0.47509578544061304,0.4285132495215724
30,NRpre,M,A,149,0.23427672955974843,0.24522296630585802
31,NRpre,M,M,152,0.2389937106918239,0.28347429306357674
32,NRpre,M,V,335,0.5267295597484277,0.47130274063056526
33,NRpre,V,A,172,0.16475095785440613,0.21514448667328692
34,NRpre,V,M,259,0.24808429118773948,0.2913088010643715
35,NRpre,V,V,613,0.5871647509578544,0.49354671226234154
36,NRpre,A,A,111,0.21264367816091953,0.2622630819786226
37,NRpre,A,M,154,0.2950191570881226,0.3035137171876546
38,NRpre,A,V,257,0.49233716475095785,0.4342232008337229
39,NRpre,M,A,134,0.21069182389937108,0.24841673683006604
40,NRpre,M,M,148,0.23270440251572327,0.2798209719151376
41,NRpre,M,V,354,0.5566037735849056,0.47176229125479635
42,NRpre,V,A,179,0.171455938697318,0.22149398830448375
43,NRpre,V,M,268,0.2567049808429119,0.2949679976017237
44,NRpre,V,V,597,0.5718390804597702,0.48353801409379255
45,NRpre,A,A,151,0.289272030651341,0.29029683211407575
46,NRpre,A,M,128,0.24521072796934865,0.2854145195504557
47,NRpre,A,V,243,0.46551724137931033,0.42428864833546853
48,NRpre,M,A,119,0.1871069182389937,0.23446821421602093
49,NRpre,M,M,172,0.27044025157232704,0.29396222651906184
50,NRpre,M,V,345,0.5424528301886793,0.4715695592649172
51,NRpre,V,A,187,0.17911877394636017,0.21284988626669363
52,NRpre,V,M,264,0.25287356321839083,0.29183926196614435
53,NRpre,V,V,593,0.5680076628352491,0.4953108517671621
54,NRpre,A,A,127,0.24329501915708812,0.2642671422104278
55,NRpre,A,M,138,0.26436781609195403,0.2844592724482594
56,NRpre,A,V,257,0.49233716475095785,0.4512735853413128
57,NRpre,M,A,124,0.1949685534591195,0.23045343977980456
58,NRpre,M,M,170,0.2672955974842767,0.29845615902147155
59,NRpre,M,V,342,0.5377358490566038,0.4710904011987238
60,NRpre,V,A,193,0.18486590038314177,0.22978034697850352
61,NRpre,V,M,270,0.25862068965517243,0.2838830677681703
62,NRpre,V,V,581,0.5565134099616859,0.4863365852533262
63,NRpre,A,A,116,0.2222222222222222,0.27064322053573925
64,NRpre,A,M,119,0.22796934865900384,0.2673486351516801
65,NRpre,A,V,287,0.5498084291187739,0.46200814431258064
66,NRpre,M,A,121,0.19025157232704404,0.22900983860128746
67,NRpre,M,M,171,0.2688679245283019,0.3038964518711233
68,NRpre,M,V,344,0.5408805031446541,0.4670937095275892
69,NRpre,V,A,194,0.18582375478927204,0.22601952300130296
70,NRpre,V,M,237,0.22701149425287356,0.28190664423973394
71,NRpre,V,V,613,0.5871647509578544,0.4920738327589631
72,NRpre,A,A,125,0.23946360153256704,0.26282226573655676
73,NRpre,A,M,129,0.2471264367816092,0.2905151680031944
74,NRpre,A,V,268,0.5134099616858238,0.44666256626024886
75,NRpre,M,A,125,0.19654088050314467,0.2445357277553797
76,NRpre,M,M,160,0.25157232704402516,0.2918801326453729
77,NRpre,M,V,351,0.5518867924528302,0.46358413959924744
78,NRpre,V,A,180,0.1724137931034483,0.22137340775182326
79,NRpre,V,M,252,0.2413793103448276,0.27917005309729914
80,NRpre,V,V,612,0.5862068965517241,0.4994565391508775
81,NRpre,A,A,137,0.2624521072796935,0.2765632619914284
82,NRpre,A,M,129,0.2471264367816092,0.2776240166485354
83,NRpre,A,V,256,0.4904214559386973,0.4458127213600362
84,NRpre,M,A,129,0.2028301886792453,0.2420480897252421
85,NRpre,M,M,153,0.24056603773584906,0.2757809255994613
86,NRpre,M,V,354,0.5566037735849056,0.4821709846752966
87,NRpre,V,A,203,0.19444444444444445,0.22789708711797846
88,NRpre,V,M,254,0.24329501915708812,0.2920275088424912
89,NRpre,V,V,587,0.5622605363984674,0.48007540403953036
90,NRpre,A,A,116,0.2222222222222222,0.25925946780008313
91,NRpre,A,M,145,0.2777777777777778,0.29507522715963763
92,NRpre,A,V,261,0.5,0.44566530504027924
93,NRpre,M,A,133,0.20911949685534592,0.24701632721592193
94,NRpre,M,M,165,0.25943396226415094,0.29302788762997983
95,NRpre,M,V,338,0.5314465408805031,0.4599557851540982
96,NRpre,V,A,184,0.17624521072796934,0.21731571296518876
97,NRpre,V,M,255,0.2442528735632184,0.28626184996170234
98,NRpre,V,V,605,0.5795019157088123,0.4964224370731089
99,NRpre,A,A,139,0.2662835249042146,0.27458127062852716
