,Group,Type,Area,NeighborTYPE,count,prob,mean_dist
0,NRpre,A,A/RL/AL,A,83,0.44385026737967914,40.54726864696485
1,NRpre,A,A/RL/AL,M,51,0.2727272727272727,48.632345658650095
2,NRpre,A,A/RL/AL,V,53,0.28342245989304815,52.78506018134314
3,NRpre,A,AM/PM,A,14,0.18181818181818182,46.56289916756897
4,NRpre,A,AM/PM,M,21,0.2727272727272727,41.563597123864554
5,NRpre,A,AM/PM,V,42,0.5454545454545454,25.449094005249812
6,NRpre,A,LM,A,6,0.25,32.83957723628816
7,NRpre,A,LM,M,9,0.375,33.045271157622174
8,NRpre,A,LM,V,9,0.375,27.530085850764248
9,NRpre,A,V1,A,57,0.24358974358974358,49.856006409470524
10,NRpre,A,V1,M,51,0.21794871794871795,47.20451617953671
11,NRpre,A,V1,V,126,0.5384615384615384,31.188300039546938
12,NRpre,M,A/RL/AL,A,60,0.48,40.341870994622916
13,NRpre,M,A/RL/AL,M,20,0.16,51.12865914536591
14,NRpre,M,A/RL/AL,V,45,0.36,44.19737187497169
15,NRpre,M,AM/PM,A,21,0.17073170731707318,51.39442089513
16,NRpre,M,AM/PM,M,31,0.25203252032520324,39.01194993545105
17,NRpre,M,AM/PM,V,71,0.5772357723577236,28.09823606240783
18,NRpre,M,LM,A,10,0.5,35.481467024169085
19,NRpre,M,LM,M,7,0.35,40.418343039676905
20,NRpre,M,LM,V,3,0.15,43.59293433209713
21,NRpre,M,V1,A,56,0.15217391304347827,49.01799820981758
22,NRpre,M,V1,M,128,0.34782608695652173,39.87023789715073
23,NRpre,M,V1,V,184,0.5,29.62102210156927
24,NRpre,V,A/RL/AL,A,56,0.3916083916083916,42.50004751050251
25,NRpre,V,A/RL/AL,M,46,0.32167832167832167,44.45754616217373
26,NRpre,V,A/RL/AL,V,41,0.2867132867132867,46.98813170384006
27,NRpre,V,AM/PM,A,47,0.19665271966527198,44.985452475272254
28,NRpre,V,AM/PM,M,57,0.2384937238493724,41.162753380613964
29,NRpre,V,AM/PM,V,135,0.5648535564853556,26.856233677429305
30,NRpre,V,LM,A,12,0.631578947368421,28.883573690794538
31,NRpre,V,LM,M,1,0.05263157894736842,44.580100830176946
32,NRpre,V,LM,V,6,0.3157894736842105,43.29678871021547
33,NRpre,V,V1,A,121,0.18818040435458788,51.9946866994031
34,NRpre,V,V1,M,196,0.3048211508553655,44.89806634691126
35,NRpre,V,V1,V,326,0.5069984447900466,33.116029643400125
36,NRpre,A,A/RL/AL,A,79,0.42934782608695654,41.80834795222291
37,NRpre,A,A/RL/AL,M,38,0.20652173913043478,51.91968588882024
38,NRpre,A,A/RL/AL,V,67,0.3641304347826087,47.52975440421851
39,NRpre,A,AM/PM,A,10,0.1282051282051282,50.337556501525604
40,NRpre,A,AM/PM,M,28,0.358974358974359,36.224736424550244
41,NRpre,A,AM/PM,V,40,0.5128205128205128,31.42348130384885
42,NRpre,A,LM,A,10,0.37037037037037035,36.02321696223581
43,NRpre,A,LM,M,5,0.18518518518518517,41.611241303274696
44,NRpre,A,LM,V,12,0.4444444444444444,32.232568468826315
45,NRpre,A,V1,A,40,0.17167381974248927,56.01137818301956
46,NRpre,A,V1,M,76,0.3261802575107296,43.781523425439765
47,NRpre,A,V1,V,117,0.5021459227467812,34.90440919357188
48,NRpre,M,A/RL/AL,A,49,0.3712121212121212,40.823810265196315
49,NRpre,M,A/RL/AL,M,34,0.25757575757575757,48.82857360194024
50,NRpre,M,A/RL/AL,V,49,0.3712121212121212,43.694846807789375
51,NRpre,M,AM/PM,A,28,0.23140495867768596,44.65208344508319
52,NRpre,M,AM/PM,M,34,0.2809917355371901,37.09095782140732
53,NRpre,M,AM/PM,V,59,0.48760330578512395,28.59915838891779
54,NRpre,M,LM,A,8,0.6153846153846154,27.14237632616591
55,NRpre,M,LM,M,2,0.15384615384615385,45.97212993449444
56,NRpre,M,LM,V,3,0.23076923076923078,33.84464833437726
57,NRpre,M,V1,A,72,0.1945945945945946,51.07197297174164
58,NRpre,M,V1,M,113,0.3054054054054054,38.789963683361265
59,NRpre,M,V1,V,185,0.5,30.94261818379003
60,NRpre,V,A/RL/AL,A,61,0.43884892086330934,36.14366959888573
61,NRpre,V,A/RL/AL,M,44,0.31654676258992803,45.375231148983275
62,NRpre,V,A/RL/AL,V,34,0.2446043165467626,46.48593522220894
63,NRpre,V,AM/PM,A,43,0.17916666666666667,45.3086251647146
64,NRpre,V,AM/PM,M,60,0.25,36.95029633916772
65,NRpre,V,AM/PM,V,137,0.5708333333333333,27.084716456968337
66,NRpre,V,LM,A,16,0.6956521739130435,30.47455687228939
67,NRpre,V,LM,M,3,0.13043478260869565,49.96565025364375
68,NRpre,V,LM,V,4,0.17391304347826086,35.16122595361444
69,NRpre,V,V1,A,116,0.1806853582554517,51.81659868501203
70,NRpre,V,V1,M,202,0.3146417445482866,41.15494838074299
71,NRpre,V,V1,V,324,0.5046728971962616,31.7976867293098
72,NRpre,A,A/RL/AL,A,93,0.5166666666666667,39.85071800780581
73,NRpre,A,A/RL/AL,M,49,0.2722222222222222,48.873580349955176
74,NRpre,A,A/RL/AL,V,38,0.2111111111111111,50.3677268970789
75,NRpre,A,AM/PM,A,6,0.07894736842105263,53.77331754116185
76,NRpre,A,AM/PM,M,24,0.3157894736842105,39.39773049597234
77,NRpre,A,AM/PM,V,46,0.6052631578947368,26.920563933396558
78,NRpre,A,LM,A,19,0.6129032258064516,29.245517052161492
79,NRpre,A,LM,M,7,0.22580645161290322,50.9863153137425
80,NRpre,A,LM,V,5,0.16129032258064516,34.5411433295761
81,NRpre,A,V1,A,62,0.26382978723404255,53.075078933105836
82,NRpre,A,V1,M,60,0.2553191489361702,50.630639670493395
83,NRpre,A,V1,V,113,0.4808510638297872,33.810267653293536
84,NRpre,M,A/RL/AL,A,41,0.3178294573643411,42.378825132688384
85,NRpre,M,A/RL/AL,M,40,0.31007751937984496,44.92269104152772
86,NRpre,M,A/RL/AL,V,48,0.37209302325581395,44.43698543705924
87,NRpre,M,AM/PM,A,19,0.15447154471544716,44.26162033565391
88,NRpre,M,AM/PM,M,37,0.3008130081300813,37.92478293683887
89,NRpre,M,AM/PM,V,67,0.5447154471544715,26.694067825823403
90,NRpre,M,LM,A,7,0.4666666666666667,30.0956212902096
91,NRpre,M,LM,M,2,0.13333333333333333,40.90734624567596
92,NRpre,M,LM,V,6,0.4,34.71465827252657
93,NRpre,M,V1,A,61,0.16531165311653118,51.121430199189305
94,NRpre,M,V1,M,111,0.3008130081300813,38.93294944513324
95,NRpre,M,V1,V,197,0.5338753387533876,30.167528264134496
96,NRpre,V,A/RL/AL,A,40,0.273972602739726,46.65491897479032
97,NRpre,V,A/RL/AL,M,45,0.3082191780821918,47.18034709988295
98,NRpre,V,A/RL/AL,V,61,0.4178082191780822,43.07583996493994
99,NRpre,V,AM/PM,A,44,0.18333333333333332,42.7453734000238
100,NRpre,V,AM/PM,M,65,0.2708333333333333,36.83785041700098
101,NRpre,V,AM/PM,V,131,0.5458333333333333,27.743545266171306
102,NRpre,V,LM,A,9,0.5294117647058824,29.69622699120557
103,NRpre,V,LM,M,6,0.35294117647058826,54.26545339358523
104,NRpre,V,LM,V,2,0.11764705882352941,49.54912193056413
105,NRpre,V,V1,A,120,0.187207488299532,52.08520976169953
106,NRpre,V,V1,M,190,0.296411856474259,42.9006128717296
107,NRpre,V,V1,V,331,0.516380655226209,31.88379730286278
108,NRpre,A,A/RL/AL,A,69,0.3770491803278688,40.09376530699882
109,NRpre,A,A/RL/AL,M,49,0.2677595628415301,50.89470848346427
110,NRpre,A,A/RL/AL,V,65,0.3551912568306011,45.13945301619193
111,NRpre,A,AM/PM,A,10,0.12987012987012986,43.793094397548685
112,NRpre,A,AM/PM,M,25,0.3246753246753247,38.67600709577605
113,NRpre,A,AM/PM,V,42,0.5454545454545454,28.113835112632746
114,NRpre,A,LM,A,10,0.37037037037037035,31.712495212376798
115,NRpre,A,LM,M,8,0.2962962962962963,41.740546477151966
116,NRpre,A,LM,V,9,0.3333333333333333,38.603675601119775
117,NRpre,A,V1,A,33,0.14042553191489363,53.08652518426917
118,NRpre,A,V1,M,83,0.35319148936170214,39.89348376176736
119,NRpre,A,V1,V,119,0.5063829787234042,30.670661682146793
120,NRpre,M,A/RL/AL,A,54,0.421875,38.93665025310399
121,NRpre,M,A/RL/AL,M,38,0.296875,46.81376560840762
122,NRpre,M,A/RL/AL,V,36,0.28125,44.46075889193359
