,Group,Type,Area,Neighborhood,count,prob,mean_dist
0,NRpre,A,A/RL/AL,A,92,0.4972972972972973,0.4284211438186406
1,NRpre,A,A/RL/AL,M,41,0.22162162162162163,0.2769681051270751
2,NRpre,A,A/RL/AL,V,52,0.2810810810810811,0.2946107510542843
3,NRpre,A,AM/PM,A,7,0.09210526315789473,0.17665371626098664
4,NRpre,A,AM/PM,M,21,0.27631578947368424,0.3018251526048931
5,NRpre,A,AM/PM,V,48,0.631578947368421,0.5215211311341202
6,NRpre,A,LM,A,11,0.4230769230769231,0.39481652363854924
7,NRpre,A,LM,M,8,0.3076923076923077,0.3103034546844437
8,NRpre,A,LM,V,7,0.2692307692307692,0.29488002167700705
9,NRpre,A,V1,A,24,0.10212765957446808,0.1916905265053803
10,NRpre,A,V1,M,68,0.28936170212765955,0.3013375313010539
11,NRpre,A,V1,V,143,0.6085106382978723,0.5069719421935658
12,NRpre,M,A/RL/AL,A,58,0.453125,0.4034746203448551
13,NRpre,M,A/RL/AL,M,28,0.21875,0.2910890654387645
14,NRpre,M,A/RL/AL,V,42,0.328125,0.3054363142163804
15,NRpre,M,AM/PM,A,14,0.11570247933884298,0.18036851214015706
16,NRpre,M,AM/PM,M,39,0.32231404958677684,0.3384950127610891
17,NRpre,M,AM/PM,V,68,0.5619834710743802,0.4811364750987538
18,NRpre,M,LM,A,7,0.4117647058823529,0.3939283724795058
19,NRpre,M,LM,M,3,0.17647058823529413,0.26965735903156274
20,NRpre,M,LM,V,7,0.4117647058823529,0.33641426848893147
21,NRpre,M,V1,A,39,0.10540540540540541,0.17287490367361136
22,NRpre,M,V1,M,95,0.25675675675675674,0.3006854297268506
23,NRpre,M,V1,V,236,0.6378378378378379,0.5264396665995381
24,NRpre,V,A/RL/AL,A,56,0.39436619718309857,0.3708361255959412
25,NRpre,V,A/RL/AL,M,39,0.2746478873239437,0.2734378644504023
26,NRpre,V,A/RL/AL,V,47,0.33098591549295775,0.3557260099536565
27,NRpre,V,AM/PM,A,21,0.08677685950413223,0.16861029934995747
28,NRpre,V,AM/PM,M,53,0.2190082644628099,0.24446968177906964
29,NRpre,V,AM/PM,V,168,0.6942148760330579,0.5869200188709729
30,NRpre,V,LM,A,9,0.45,0.4248486846311451
31,NRpre,V,LM,M,4,0.2,0.2881124752561684
32,NRpre,V,LM,V,7,0.35,0.28703884011268654
33,NRpre,V,V1,A,79,0.1234375,0.18288176360345287
34,NRpre,V,V1,M,177,0.2765625,0.31937823801448156
35,NRpre,V,V1,V,384,0.6,0.4977399983820655
36,NRpre,A,A/RL/AL,A,83,0.4585635359116022,0.40111728181219314
37,NRpre,A,A/RL/AL,M,49,0.27071823204419887,0.28649068218575524
38,NRpre,A,A/RL/AL,V,49,0.27071823204419887,0.3123920360020516
39,NRpre,A,AM/PM,A,18,0.23376623376623376,0.24360876678378235
40,NRpre,A,AM/PM,M,15,0.19480519480519481,0.2806383465678333
41,NRpre,A,AM/PM,V,44,0.5714285714285714,0.4757528866483843
42,NRpre,A,LM,A,16,0.5333333333333333,0.5038264569814986
43,NRpre,A,LM,M,5,0.16666666666666666,0.19630428005083564
44,NRpre,A,LM,V,9,0.3,0.29986926296766564
45,NRpre,A,V1,A,39,0.16666666666666666,0.2019464663203636
46,NRpre,A,V1,M,56,0.23931623931623933,0.2892413169176002
47,NRpre,A,V1,V,139,0.594017094017094,0.5088122167620361
48,NRpre,M,A/RL/AL,A,58,0.44274809160305345,0.40760486069288515
49,NRpre,M,A/RL/AL,M,30,0.22900763358778625,0.28442819295209515
50,NRpre,M,A/RL/AL,V,43,0.3282442748091603,0.3079669463550197
51,NRpre,M,AM/PM,A,18,0.14634146341463414,0.18772334217708433
52,NRpre,M,AM/PM,M,22,0.17886178861788618,0.26262563159303653
53,NRpre,M,AM/PM,V,83,0.6747967479674797,0.5496510262298792
54,NRpre,M,LM,A,10,0.7692307692307693,0.5591653540937104
55,NRpre,M,LM,M,0,0.0,0.12286316150466838
56,NRpre,M,LM,V,3,0.23076923076923078,0.31797148440162126
57,NRpre,M,V1,A,42,0.11382113821138211,0.18510382857245788
58,NRpre,M,V1,M,94,0.25474254742547425,0.30051546319209915
59,NRpre,M,V1,V,233,0.6314363143631436,0.514380708235443
60,NRpre,V,A/RL/AL,A,56,0.3916083916083916,0.4004328440109022
61,NRpre,V,A/RL/AL,M,43,0.3006993006993007,0.2994588862324986
