group,group_base,condition,area,signal_source,mean_neurons,std_neurons,sem_neurons,min_neurons,max_neurons,n_sessions
g1post,g1,post,V1,glm_clean,246.16666666666666,135.04283271120562,55.13100559374714,59,392,6
g1post,g1,post,AM/PM,glm_clean,34.333333333333336,30.501366089625122,17.60997192249639,4,65,3
g1post,g1,post,A/RL/AL,glm_clean,90.71428571428571,59.438243260587384,22.465544290582162,10,175,7
g1post,g1,post,LM,glm_clean,76.0,1.4142135623730951,1.0,75,77,2
g1pre,g1,pre,V1,glm_clean,229.0,140.0771216152017,57.18624543250472,26,397,6
g1pre,g1,pre,AM/PM,glm_clean,29.5,44.56081986079999,22.280409930399994,1,96,4
g1pre,g1,pre,A/RL/AL,glm_clean,81.875,52.340744849768534,18.505247807813095,3,169,8
g1pre,g1,pre,LM,glm_clean,54.5,13.435028842544403,9.5,45,64,2
g2post,g2,post,V1,glm_clean,232.875,185.49350200401705,65.58185656654045,2,520,8
g2post,g2,post,AM/PM,glm_clean,127.33333333333333,105.31065156636974,60.80113303037845,6,195,3
g2post,g2,post,A/RL/AL,glm_clean,85.4,46.01412826513179,20.57814374524583,18,135,5
g2post,g2,post,LM,glm_clean,22.333333333333332,32.65475973473596,18.853234323172362,2,60,3
g2pre,g2,pre,V1,glm_clean,204.5,151.63018922930317,53.609367518319836,10,442,8
g2pre,g2,pre,AM/PM,glm_clean,133.75,86.73859194922024,43.36929597461012,5,186,4
g2pre,g2,pre,A/RL/AL,glm_clean,85.71428571428571,43.1150178233149,16.295944990372657,15,149,7
g2pre,g2,pre,LM,glm_clean,24.666666666666668,40.12895878705717,23.168465158006857,1,71,3
