group,area,task,analysis,signal_source,scoring,mean_score,std_score,sem_score,n_sessions,mean_neurons,min_neurons,max_neurons,group_base,condition
g1pre,A/RL/AL,auditory_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.6064814814814815,0.1590684226379983,0.0562391801599881,8,81.875,3,169,g1,pre
g1pre,A/RL/AL,congruency,averaged_trial_response,glm_clean,balanced_accuracy,0.5256944444444445,0.0260472877531333,0.0092091069008789,8,81.875,3,169,g1,pre
g1pre,A/RL/AL,modality,averaged_trial_response,glm_clean,balanced_accuracy,0.6028935185185185,0.2034880035834809,0.0719438736119959,8,81.875,3,169,g1,pre
g1pre,A/RL/AL,trial_type,averaged_trial_response,glm_clean,balanced_accuracy,0.3513888888888889,0.2183517097157759,0.0771989873118508,8,81.875,3,169,g1,pre
g1pre,A/RL/AL,visual_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.7175925925925926,0.1882367620344834,0.0665517454515908,8,81.875,3,169,g1,pre
g1pre,AM/PM,auditory_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.5783950617283952,0.0917803883684952,0.0529894319308791,3,39.0,10,96,g1,pre
g1pre,AM/PM,congruency,averaged_trial_response,glm_clean,balanced_accuracy,0.4925925925925926,0.0222800174361407,0.0128633740643053,3,39.0,10,96,g1,pre
g1pre,AM/PM,modality,averaged_trial_response,glm_clean,balanced_accuracy,0.6163580246913579,0.0654357383101457,0.0377793411279845,3,39.0,10,96,g1,pre
g1pre,AM/PM,trial_type,averaged_trial_response,glm_clean,balanced_accuracy,0.325462962962963,0.0882172251126975,0.0509322386659777,3,39.0,10,96,g1,pre
g1pre,AM/PM,visual_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.6981481481481482,0.1147998795542879,0.0662797413636047,3,39.0,10,96,g1,pre
g1pre,LM,auditory_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.5296296296296297,0.0183323980307624,0.012962962962963,2,54.5,45,64,g1,pre
g1pre,LM,congruency,averaged_trial_response,glm_clean,balanced_accuracy,0.5291666666666668,0.0019641855032958,0.0013888888888888,2,54.5,45,64,g1,pre
g1pre,LM,modality,averaged_trial_response,glm_clean,balanced_accuracy,0.5328703703703703,0.2075489348482736,0.1467592592592592,2,54.5,45,64,g1,pre
g1pre,LM,trial_type,averaged_trial_response,glm_clean,balanced_accuracy,0.2513888888888889,0.1296362432175337,0.0916666666666666,2,54.5,45,64,g1,pre
g1pre,LM,visual_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.6953703703703703,0.22391714737574,0.1583333333333333,2,54.5,45,64,g1,pre
g1pre,V1,auditory_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.5345679012345679,0.0437235778205566,0.0178500758982059,6,229.0,26,397,g1,pre
g1pre,V1,congruency,averaged_trial_response,glm_clean,balanced_accuracy,0.498611111111111,0.0434524715516921,0.0177393972274079,6,229.0,26,397,g1,pre
g1pre,V1,modality,averaged_trial_response,glm_clean,balanced_accuracy,0.5947530864197531,0.1731790095953495,0.0707000346115263,6,229.0,26,397,g1,pre
g1pre,V1,trial_type,averaged_trial_response,glm_clean,balanced_accuracy,0.3266203703703703,0.1562297311956498,0.0637805206802529,6,229.0,26,397,g1,pre
g1pre,V1,visual_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.7716049382716049,0.1670434698057824,0.0681952109813626,6,229.0,26,397,g1,pre
g2pre,A/RL/AL,auditory_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.5798941798941799,0.0761095984607471,0.0287667242731601,7,85.71428571428571,15,149,g2,pre
g2pre,A/RL/AL,congruency,averaged_trial_response,glm_clean,balanced_accuracy,0.5075396825396825,0.0354176392645789,0.0133866093598674,7,85.71428571428571,15,149,g2,pre
g2pre,A/RL/AL,modality,averaged_trial_response,glm_clean,balanced_accuracy,0.7603174603174603,0.0631588016687441,0.0238717831886211,7,85.71428571428571,15,149,g2,pre
g2pre,A/RL/AL,trial_type,averaged_trial_response,glm_clean,balanced_accuracy,0.4650793650793651,0.0976196525339368,0.0368967605253333,7,85.71428571428571,15,149,g2,pre
g2pre,A/RL/AL,visual_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.9015873015873016,0.0766931171303367,0.0289872735996026,7,85.71428571428571,15,149,g2,pre
g2pre,AM/PM,auditory_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.5824074074074074,0.0838802355660138,0.0419401177830069,4,133.75,5,186,g2,pre
g2pre,AM/PM,congruency,averaged_trial_response,glm_clean,balanced_accuracy,0.5069444444444444,0.03179311983961,0.015896559919805,4,133.75,5,186,g2,pre
g2pre,AM/PM,modality,averaged_trial_response,glm_clean,balanced_accuracy,0.7256944444444444,0.2432858990822783,0.1216429495411391,4,133.75,5,186,g2,pre
g2pre,AM/PM,trial_type,averaged_trial_response,glm_clean,balanced_accuracy,0.4895833333333333,0.2239013529294126,0.1119506764647063,4,133.75,5,186,g2,pre
g2pre,AM/PM,visual_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.8685185185185185,0.2346669706320515,0.1173334853160257,4,133.75,5,186,g2,pre
g2pre,LM,auditory_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.4953703703703703,0.0117851130197757,0.0083333333333333,2,36.5,2,71,g2,pre
g2pre,LM,congruency,averaged_trial_response,glm_clean,balanced_accuracy,0.4847222222222221,0.0019641855032959,0.0013888888888888,2,36.5,2,71,g2,pre
g2pre,LM,modality,averaged_trial_response,glm_clean,balanced_accuracy,0.600462962962963,0.1604084827691704,0.1134259259259258,2,36.5,2,71,g2,pre
g2pre,LM,trial_type,averaged_trial_response,glm_clean,balanced_accuracy,0.2909722222222222,0.1541885620087333,0.1090277777777777,2,36.5,2,71,g2,pre
g2pre,LM,visual_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.7620370370370371,0.2736765134592378,0.1935185185185185,2,36.5,2,71,g2,pre
g2pre,V1,auditory_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.544675925925926,0.0413546518669975,0.0146210773843814,8,204.5,10,442,g2,pre
g2pre,V1,congruency,averaged_trial_response,glm_clean,balanced_accuracy,0.5097222222222222,0.0525580220234014,0.0185820668892495,8,204.5,10,442,g2,pre
g2pre,V1,modality,averaged_trial_response,glm_clean,balanced_accuracy,0.7997685185185186,0.0779425534747949,0.0275568540525113,8,204.5,10,442,g2,pre
g2pre,V1,trial_type,averaged_trial_response,glm_clean,balanced_accuracy,0.5015625,0.1002296676461367,0.0354365388343286,8,204.5,10,442,g2,pre
