group,area,task,analysis,signal_source,scoring,mean_score,std_score,sem_score,n_sessions,mean_neurons,min_neurons,max_neurons,group_base,condition
g1pre,A/RL/AL,A_position,timepoint_position,glm_clean,balanced_accuracy,0.1078483245149911,0.0265882341021,0.0100494078906462,7,93.14285714285714,44,169,g1,pre
g1pre,A/RL/AL,V_position,timepoint_position,glm_clean,balanced_accuracy,0.1269841269841269,0.0373781858418382,0.0141276263137513,7,93.14285714285714,44,169,g1,pre
g1pre,AM/PM,A_position,timepoint_position,glm_clean,balanced_accuracy,0.119753086419753,,,1,96.0,96,96,g1,pre
g1pre,AM/PM,V_position,timepoint_position,glm_clean,balanced_accuracy,0.1129629629629629,,,1,96.0,96,96,g1,pre
g1pre,LM,A_position,timepoint_position,glm_clean,balanced_accuracy,0.0825925925925925,0.0211259063021166,0.0149382716049382,2,54.5,45,64,g1,pre
g1pre,LM,V_position,timepoint_position,glm_clean,balanced_accuracy,0.1151851851851851,0.0473150463460627,0.0334567901234567,2,54.5,45,64,g1,pre
g1pre,V1,A_position,timepoint_position,glm_clean,balanced_accuracy,0.1224938271604938,0.0328025179237336,0.0146697319821247,5,269.6,146,397,g1,pre
g1pre,V1,V_position,timepoint_position,glm_clean,balanced_accuracy,0.1791604938271604,0.0676282616298207,0.0302442780408839,5,269.6,146,397,g1,pre
g2pre,A/RL/AL,A_position,timepoint_position,glm_clean,balanced_accuracy,0.1284156378600823,0.0065510861827063,0.0026744697347712,6,97.5,64,149,g2,pre
g2pre,A/RL/AL,V_position,timepoint_position,glm_clean,balanced_accuracy,0.190514403292181,0.0502981457908688,0.0205341320326243,6,97.5,64,149,g2,pre
g2pre,AM/PM,A_position,timepoint_position,glm_clean,balanced_accuracy,0.1427572016460905,0.01333123745149,0.0076967935312485,3,176.66666666666666,159,186,g2,pre
g2pre,AM/PM,V_position,timepoint_position,glm_clean,balanced_accuracy,0.2241975308641975,0.0430290750020752,0.0248428480354287,3,176.66666666666666,159,186,g2,pre
g2pre,LM,A_position,timepoint_position,glm_clean,balanced_accuracy,0.1441975308641975,,,1,71.0,71,71,g2,pre
g2pre,LM,V_position,timepoint_position,glm_clean,balanced_accuracy,0.2479012345679012,,,1,71.0,71,71,g2,pre
g2pre,V1,A_position,timepoint_position,glm_clean,balanced_accuracy,0.1599118165784832,0.01798585283574,0.006798013388682,7,232.28571428571428,60,442,g2,pre
g2pre,V1,V_position,timepoint_position,glm_clean,balanced_accuracy,0.3039858906525574,0.0598253021713206,0.0226118388078009,7,232.28571428571428,60,442,g2,pre
g1post,A/RL/AL,A_position,timepoint_position,glm_clean,balanced_accuracy,0.1231893004115226,0.0180335538277677,0.0073621675211742,6,104.16666666666669,53,175,g1,post
g1post,A/RL/AL,V_position,timepoint_position,glm_clean,balanced_accuracy,0.1587448559670781,0.0528910799805882,0.0215926929828625,6,104.16666666666669,53,175,g1,post
g1post,AM/PM,A_position,timepoint_position,glm_clean,balanced_accuracy,0.1182716049382716,,,1,65.0,65,65,g1,post
g1post,AM/PM,V_position,timepoint_position,glm_clean,balanced_accuracy,0.1138271604938271,,,1,65.0,65,65,g1,post
g1post,LM,A_position,timepoint_position,glm_clean,balanced_accuracy,0.1114814814814814,0.0015713484026367,0.0011111111111111,2,76.0,75,77,g1,post
g1post,LM,V_position,timepoint_position,glm_clean,balanced_accuracy,0.1851851851851851,0.0199037464333991,0.014074074074074,2,76.0,75,77,g1,post
g1post,V1,A_position,timepoint_position,glm_clean,balanced_accuracy,0.1393004115226337,0.0185712281407912,0.0075816721402924,6,246.16666666666663,59,392,g1,post
g1post,V1,V_position,timepoint_position,glm_clean,balanced_accuracy,0.2387448559670781,0.0471201053004756,0.0192367024353964,6,246.16666666666663,59,392,g1,post
g2post,A/RL/AL,A_position,timepoint_position,glm_clean,balanced_accuracy,0.1444135802469136,0.0130822941707176,0.0065411470853588,4,102.25,69,135,g2,post
g2post,A/RL/AL,V_position,timepoint_position,glm_clean,balanced_accuracy,0.2204629629629629,0.0615413937017124,0.0307706968508562,4,102.25,69,135,g2,post
g2post,AM/PM,A_position,timepoint_position,glm_clean,balanced_accuracy,0.1386419753086419,0.017983209496843,0.012716049382716,2,188.0,181,195,g2,post
g2post,AM/PM,V_position,timepoint_position,glm_clean,balanced_accuracy,0.1846913580246913,0.0396328985998385,0.0280246913580246,2,188.0,181,195,g2,post
g2post,LM,A_position,timepoint_position,glm_clean,balanced_accuracy,0.1482716049382716,,,1,60.0,60,60,g2,post
g2post,LM,V_position,timepoint_position,glm_clean,balanced_accuracy,0.2746913580246913,,,1,60.0,60,60,g2,post
g2post,V1,A_position,timepoint_position,glm_clean,balanced_accuracy,0.1626954732510288,0.0116817569574514,0.0047690573074938,6,307.8333333333333,77,520,g2,post
g2post,V1,V_position,timepoint_position,glm_clean,balanced_accuracy,0.3012551440329218,0.0263245563868237,0.0107469551421403,6,307.8333333333333,77,520,g2,post
