group,area,task,analysis,signal_source,scoring,time_index,time_s,stimulus_offset_s,mean_score,std_score,sem_score,n_sessions,mean_neurons,min_neurons,max_neurons,group_base,condition
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,0,-0.9704341075240992,1.0351297146923724,0.503968253968254,0.0124423026627564,0.00470274836895,7,93.14285714285714,44,169,g1,pre
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,1,-0.9057385003558258,1.0351297146923724,0.4978835978835979,0.0151742120631745,0.005735313065788,7,93.14285714285714,44,169,g1,pre
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,2,-0.8410428931875525,1.0351297146923724,0.5103174603174603,0.0288448767075511,0.0109023386237856,7,93.14285714285714,44,169,g1,pre
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,3,-0.7763472860192793,1.0351297146923724,0.4976190476190476,0.0306669180096883,0.011591005504349,7,93.14285714285714,44,169,g1,pre
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,4,-0.711651678851006,1.0351297146923724,0.4976190476190476,0.0226984538095276,0.0085792091322424,7,93.14285714285714,44,169,g1,pre
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,5,-0.6469560716827327,1.0351297146923724,0.4994708994708995,0.0332253787831503,0.0125580127823053,7,93.14285714285714,44,169,g1,pre
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,6,-0.5822604645144595,1.0351297146923724,0.4928571428571429,0.0285174877845753,0.0107785972420441,7,93.14285714285714,44,169,g1,pre
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,7,-0.5175648573461862,1.0351297146923724,0.514021164021164,0.0185757493076972,0.0070209732978352,7,93.14285714285714,44,169,g1,pre
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,8,-0.4528692501779129,1.0351297146923724,0.4962962962962963,0.0352176588286318,0.0133110238597825,7,93.14285714285714,44,169,g1,pre
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,9,-0.3881736430096396,1.0351297146923724,0.4920634920634921,0.025742612191368,0.0097297928507913,7,93.14285714285714,44,169,g1,pre
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,10,-0.3234780358413663,1.0351297146923724,0.5074074074074074,0.0278599607318437,0.0105300753760691,7,93.14285714285714,44,169,g1,pre
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,11,-0.2587824286730931,1.0351297146923724,0.5113756613756614,0.0280730921728954,0.0106106314888678,7,93.14285714285714,44,169,g1,pre
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,12,-0.1940868215048198,1.0351297146923724,0.511904761904762,0.0408927738869543,0.0154560157320681,7,93.14285714285714,44,169,g1,pre
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,13,-0.1293912143365465,1.0351297146923724,0.503968253968254,0.0542377508820744,0.020499942929349,7,93.14285714285714,44,169,g1,pre
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,14,-0.0646956071682732,1.0351297146923724,0.5007936507936508,0.0281631121460942,0.0106446558405982,7,93.14285714285714,44,169,g1,pre
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,15,0.0,1.0351297146923724,0.4917989417989418,0.0186678284121003,0.0070557759280061,7,93.14285714285714,44,169,g1,pre
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,16,0.0646956071682732,1.0351297146923724,0.5042328042328043,0.0285232136129203,0.010780761401737,7,93.14285714285714,44,169,g1,pre
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,17,0.1293912143365465,1.0351297146923724,0.511904761904762,0.0247034802694363,0.0093370379015313,7,93.14285714285714,44,169,g1,pre
