condition,area,task,g1,g2,delta_g2_minus_g1
pre,V1,auditory_direction,0.54,0.5502645502645503,0.01026455026455031
pre,V1,congruency,0.5016666666666667,0.511904761904762,0.010238095238095268
pre,V1,modality,0.5872222222222222,0.819047619047619,0.23182539682539682
pre,V1,trial_type,0.3275,0.5236111111111111,0.19611111111111112
pre,V1,visual_direction,0.7814814814814814,0.9656084656084656,0.18412698412698414
pre,AM/PM,auditory_direction,0.6814814814814816,0.6166666666666667,-0.06481481481481488
pre,AM/PM,congruency,0.4694444444444444,0.5064814814814814,0.037037037037037035
pre,AM/PM,modality,0.6842592592592592,0.8444444444444444,0.1601851851851852
pre,AM/PM,trial_type,0.425,0.5976851851851852,0.17268518518518522
pre,AM/PM,visual_direction,0.7314814814814816,0.9858024691358024,0.25432098765432076
pre,A/RL/AL,auditory_direction,0.6193121693121694,0.591358024691358,-0.02795414462081136
pre,A/RL/AL,congruency,0.5234126984126984,0.5106481481481482,-0.012764550264550256
pre,A/RL/AL,modality,0.6337301587301587,0.774537037037037,0.14080687830687832
pre,A/RL/AL,trial_type,0.3815476190476191,0.4819444444444444,0.10039682539682532
pre,A/RL/AL,visual_direction,0.7444444444444445,0.9040123456790125,0.159567901234568
pre,LM,auditory_direction,0.5296296296296297,0.5037037037037037,-0.02592592592592602
pre,LM,congruency,0.5291666666666668,0.486111111111111,-0.04305555555555579
pre,LM,modality,0.5328703703703703,0.7138888888888888,0.18101851851851847
pre,LM,trial_type,0.2513888888888889,0.4,0.14861111111111114
pre,LM,visual_direction,0.6953703703703703,0.9555555555555556,0.2601851851851853
post,V1,auditory_direction,0.5558641975308641,0.5348765432098765,-0.020987654320987592
post,V1,congruency,0.4805555555555556,0.4935185185185185,0.012962962962962898
post,V1,modality,0.793672839506173,0.8407407407407407,0.04706790123456772
post,V1,trial_type,0.4893518518518518,0.5256944444444445,0.03634259259259265
post,V1,visual_direction,0.9126543209876542,0.9929012345679012,0.08024691358024705
post,AM/PM,auditory_direction,0.6814814814814815,0.6453703703703704,-0.036111111111111094
post,AM/PM,congruency,0.4555555555555555,0.4736111111111111,0.018055555555555602
post,AM/PM,modality,0.6129629629629629,0.8018518518518518,0.18888888888888888
post,AM/PM,trial_type,0.3347222222222222,0.5541666666666667,0.2194444444444445
post,AM/PM,visual_direction,0.5981481481481481,0.9666666666666666,0.36851851851851847
post,A/RL/AL,auditory_direction,0.6361111111111112,0.5856481481481481,-0.05046296296296304
post,A/RL/AL,congruency,0.4685185185185185,0.4951388888888889,0.026620370370370405
post,A/RL/AL,modality,0.7537037037037037,0.8097222222222222,0.05601851851851858
post,A/RL/AL,trial_type,0.4106481481481481,0.4944444444444444,0.08379629629629631
post,A/RL/AL,visual_direction,0.7641975308641976,0.936574074074074,0.1723765432098764
post,LM,auditory_direction,0.4777777777777776,0.5037037037037037,0.025925925925926074
post,LM,congruency,0.4430555555555555,0.4611111111111111,0.018055555555555602
post,LM,modality,0.7162037037037037,0.75,0.033796296296296324
post,LM,trial_type,0.3763888888888889,0.4222222222222222,0.04583333333333334
post,LM,visual_direction,0.923148148148148,0.9703703703703704,0.04722222222222239
