condition,area,task,g1,g2,delta_g2_minus_g1
pre,V1,A_position,0.1182716049382716,0.1524691358024691,0.034197530864197495
pre,V1,V_position,0.1723868312757201,0.2858487654320988,0.1134619341563787
pre,AM/PM,A_position,0.0977366255144032,0.1255864197530864,0.02784979423868321
pre,AM/PM,V_position,0.1039506172839506,0.1883333333333333,0.0843827160493827
pre,A/RL/AL,A_position,0.1052006172839506,0.1247795414462081,0.01957892416225751
pre,A/RL/AL,V_position,0.1217283950617283,0.1854144620811287,0.06368606701940038
pre,LM,A_position,0.0825925925925925,0.1054938271604938,0.022901234567901302
pre,LM,V_position,0.1151851851851851,0.1646913580246913,0.04950617283950619
post,V1,A_position,0.1393004115226337,0.1460185185185185,0.006718106995884793
post,V1,V_position,0.2387448559670781,0.2588734567901234,0.020128600823045323
post,AM/PM,A_position,0.1036625514403292,0.1205349794238683,0.016872427983539107
post,AM/PM,V_position,0.1105761316872427,0.1539917695473251,0.0434156378600824
post,A/RL/AL,A_position,0.1208289241622575,0.1374074074074074,0.01657848324514989
post,A/RL/AL,V_position,0.1512522045855379,0.2065185185185185,0.05526631393298059
post,LM,A_position,0.1114814814814814,0.1014814814814814,-0.010000000000000009
post,LM,V_position,0.1851851851851851,0.1568724279835391,-0.028312757201646
