group_base,area,task,pre,post,delta_post_minus_pre
g1,V1,auditory_direction,0.54,0.5558641975308641,0.0158641975308641
g1,V1,congruency,0.5016666666666667,0.4805555555555556,-0.02111111111111108
g1,V1,modality,0.5872222222222222,0.793672839506173,0.20645061728395075
g1,V1,trial_type,0.3275,0.4893518518518518,0.1618518518518518
g1,V1,visual_direction,0.7814814814814814,0.9126543209876542,0.13117283950617276
g1,AM/PM,auditory_direction,0.6814814814814816,0.6814814814814815,-1.1102230246251565e-16
g1,AM/PM,congruency,0.4694444444444444,0.4555555555555555,-0.013888888888888895
g1,AM/PM,modality,0.6842592592592592,0.6129629629629629,-0.0712962962962963
g1,AM/PM,trial_type,0.425,0.3347222222222222,-0.09027777777777779
g1,AM/PM,visual_direction,0.7314814814814816,0.5981481481481481,-0.13333333333333353
g1,A/RL/AL,auditory_direction,0.6193121693121694,0.6361111111111112,0.016798941798941813
g1,A/RL/AL,congruency,0.5234126984126984,0.4685185185185185,-0.05489417989417994
g1,A/RL/AL,modality,0.6337301587301587,0.7537037037037037,0.11997354497354495
g1,A/RL/AL,trial_type,0.3815476190476191,0.4106481481481481,0.029100529100529016
g1,A/RL/AL,visual_direction,0.7444444444444445,0.7641975308641976,0.019753086419753152
g1,LM,auditory_direction,0.5296296296296297,0.4777777777777776,-0.05185185185185209
g1,LM,congruency,0.5291666666666668,0.4430555555555555,-0.0861111111111113
g1,LM,modality,0.5328703703703703,0.7162037037037037,0.18333333333333335
g1,LM,trial_type,0.2513888888888889,0.3763888888888889,0.125
g1,LM,visual_direction,0.6953703703703703,0.923148148148148,0.22777777777777775
g2,V1,auditory_direction,0.5502645502645503,0.5348765432098765,-0.015388007054673802
g2,V1,congruency,0.511904761904762,0.4935185185185185,-0.01838624338624345
g2,V1,modality,0.819047619047619,0.8407407407407407,0.021693121693121653
g2,V1,trial_type,0.5236111111111111,0.5256944444444445,0.002083333333333326
g2,V1,visual_direction,0.9656084656084656,0.9929012345679012,0.027292768959435665
g2,AM/PM,auditory_direction,0.6166666666666667,0.6453703703703704,0.028703703703703676
g2,AM/PM,congruency,0.5064814814814814,0.4736111111111111,-0.03287037037037033
g2,AM/PM,modality,0.8444444444444444,0.8018518518518518,-0.042592592592592626
g2,AM/PM,trial_type,0.5976851851851852,0.5541666666666667,-0.04351851851851851
g2,AM/PM,visual_direction,0.9858024691358024,0.9666666666666666,-0.01913580246913582
g2,A/RL/AL,auditory_direction,0.591358024691358,0.5856481481481481,-0.005709876543209869
g2,A/RL/AL,congruency,0.5106481481481482,0.4951388888888889,-0.015509259259259278
g2,A/RL/AL,modality,0.774537037037037,0.8097222222222222,0.03518518518518521
g2,A/RL/AL,trial_type,0.4819444444444444,0.4944444444444444,0.012500000000000011
g2,A/RL/AL,visual_direction,0.9040123456790125,0.936574074074074,0.03256172839506155
g2,LM,auditory_direction,0.5037037037037037,0.5037037037037037,0.0
g2,LM,congruency,0.486111111111111,0.4611111111111111,-0.02499999999999991
g2,LM,modality,0.7138888888888888,0.75,0.036111111111111205
g2,LM,trial_type,0.4,0.4222222222222222,0.0222222222222222
g2,LM,visual_direction,0.9555555555555556,0.9703703703703704,0.014814814814814836
