group,session_index,session_name,area,task,analysis,score,n_neurons,n_samples,n_classes,signal_source,scoring
g1post,0,Beta_20211128_002,AM/PM,visual_direction,averaged_trial_response,0.5981481481481481,65,540,2,glm_clean,balanced_accuracy
g1post,0,Beta_20211128_002,AM/PM,auditory_direction,averaged_trial_response,0.6814814814814815,65,540,2,glm_clean,balanced_accuracy
g1post,0,Beta_20211128_002,AM/PM,congruency,averaged_trial_response,0.45555555555555555,65,360,2,glm_clean,balanced_accuracy
g1post,0,Beta_20211128_002,AM/PM,modality,averaged_trial_response,0.6129629629629629,65,720,3,glm_clean,balanced_accuracy
g1post,0,Beta_20211128_002,AM/PM,trial_type,averaged_trial_response,0.3347222222222222,65,720,8,glm_clean,balanced_accuracy
g1post,0,Beta_20211128_002,A/RL/AL,visual_direction,averaged_trial_response,0.6222222222222222,175,540,2,glm_clean,balanced_accuracy
g1post,0,Beta_20211128_002,A/RL/AL,auditory_direction,averaged_trial_response,0.7185185185185186,175,540,2,glm_clean,balanced_accuracy
g1post,0,Beta_20211128_002,A/RL/AL,congruency,averaged_trial_response,0.4444444444444445,175,360,2,glm_clean,balanced_accuracy
g1post,0,Beta_20211128_002,A/RL/AL,modality,averaged_trial_response,0.6416666666666666,175,720,3,glm_clean,balanced_accuracy
g1post,0,Beta_20211128_002,A/RL/AL,trial_type,averaged_trial_response,0.29305555555555557,175,720,8,glm_clean,balanced_accuracy
g1post,1,Delta_20211210_002,A/RL/AL,visual_direction,averaged_trial_response,0.7759259259259259,108,540,2,glm_clean,balanced_accuracy
g1post,1,Delta_20211210_002,A/RL/AL,auditory_direction,averaged_trial_response,0.9185185185185185,108,540,2,glm_clean,balanced_accuracy
g1post,1,Delta_20211210_002,A/RL/AL,congruency,averaged_trial_response,0.5333333333333333,108,360,2,glm_clean,balanced_accuracy
g1post,1,Delta_20211210_002,A/RL/AL,modality,averaged_trial_response,0.8722222222222221,108,720,3,glm_clean,balanced_accuracy
