group,session_index,session_name,area,task,analysis,score,n_neurons,n_samples,n_classes,signal_source,scoring
g1post,0,Beta_20211128_002,AM/PM,V_position,timepoint_position,0.11382716049382716,65,8100,15,glm_clean,balanced_accuracy
g1post,0,Beta_20211128_002,AM/PM,A_position,timepoint_position,0.1182716049382716,65,8100,15,glm_clean,balanced_accuracy
g1post,0,Beta_20211128_002,A/RL/AL,V_position,timepoint_position,0.11185185185185184,175,8100,15,glm_clean,balanced_accuracy
g1post,0,Beta_20211128_002,A/RL/AL,A_position,timepoint_position,0.13333333333333336,175,8100,15,glm_clean,balanced_accuracy
g1post,1,Delta_20211210_002,A/RL/AL,V_position,timepoint_position,0.14308641975308642,108,8100,15,glm_clean,balanced_accuracy
g1post,1,Delta_20211210_002,A/RL/AL,A_position,timepoint_position,0.15037037037037038,108,8100,15,glm_clean,balanced_accuracy
g1post,2,Epsilon_20211210_002,V1,V_position,timepoint_position,0.2714814814814815,385,8100,15,glm_clean,balanced_accuracy
g1post,2,Epsilon_20211210_002,V1,A_position,timepoint_position,0.16703703703703704,385,8100,15,glm_clean,balanced_accuracy
g1post,2,Epsilon_20211210_002,AM/PM,V_position,timepoint_position,0.08592592592592592,4,8100,15,glm_clean,balanced_accuracy
g1post,2,Epsilon_20211210_002,AM/PM,A_position,timepoint_position,0.08691358024691358,4,8100,15,glm_clean,balanced_accuracy
g1post,2,Epsilon_20211210_002,A/RL/AL,V_position,timepoint_position,0.14518518518518517,55,8100,15,glm_clean,balanced_accuracy
g1post,2,Epsilon_20211210_002,A/RL/AL,A_position,timepoint_position,0.10839506172839505,55,8100,15,glm_clean,balanced_accuracy
g1post,3,Eta_20211210_002,V1,V_position,timepoint_position,0.3062962962962963,392,8100,15,glm_clean,balanced_accuracy
g1post,3,Eta_20211210_002,V1,A_position,timepoint_position,0.15086419753086416,392,8100,15,glm_clean,balanced_accuracy
g1post,3,Eta_20211210_002,A/RL/AL,V_position,timepoint_position,0.2518518518518519,157,8100,15,glm_clean,balanced_accuracy
g1post,3,Eta_20211210_002,A/RL/AL,A_position,timepoint_position,0.13172839506172837,157,8100,15,glm_clean,balanced_accuracy
g1post,3,Eta_20211210_002,LM,V_position,timepoint_position,0.19925925925925925,77,8100,15,glm_clean,balanced_accuracy
g1post,3,Eta_20211210_002,LM,A_position,timepoint_position,0.1125925925925926,77,8100,15,glm_clean,balanced_accuracy
g1post,4,Poli_20220317_010,V1,V_position,timepoint_position,0.24345679012345678,125,8100,15,glm_clean,balanced_accuracy
g1post,4,Poli_20220317_010,V1,A_position,timepoint_position,0.1406172839506173,125,8100,15,glm_clean,balanced_accuracy
