group,area,task,analysis,signal_source,scoring,mean_score,std_score,sem_score,n_sessions,mean_neurons,min_neurons,max_neurons
g1post,A/RL/AL,auditory_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.6361111111111112,0.15838151746793505,0.06465898374735694,6,104.16666666666667,53,175
g1post,A/RL/AL,congruency,averaged_trial_response,glm_clean,balanced_accuracy,0.4685185185185185,0.0372125471118471,0.015191958742217543,6,104.16666666666667,53,175
g1post,A/RL/AL,modality,averaged_trial_response,glm_clean,balanced_accuracy,0.7537037037037037,0.07744195578480073,0.031615546059322965,6,104.16666666666667,53,175
g1post,A/RL/AL,trial_type,averaged_trial_response,glm_clean,balanced_accuracy,0.41064814814814815,0.12261825567799603,0.05005869326020275,6,104.16666666666667,53,175
g1post,A/RL/AL,visual_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.7641975308641976,0.1254548195616949,0.05121671561651434,6,104.16666666666667,53,175
g1post,AM/PM,auditory_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.6814814814814815,,,1,65.0,65,65
g1post,AM/PM,congruency,averaged_trial_response,glm_clean,balanced_accuracy,0.45555555555555555,,,1,65.0,65,65
g1post,AM/PM,modality,averaged_trial_response,glm_clean,balanced_accuracy,0.6129629629629629,,,1,65.0,65,65
g1post,AM/PM,trial_type,averaged_trial_response,glm_clean,balanced_accuracy,0.3347222222222222,,,1,65.0,65,65
g1post,AM/PM,visual_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.5981481481481481,,,1,65.0,65,65
g1post,LM,auditory_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.47777777777777763,0.010475656017578555,0.00740740740740746,2,76.0,75,77
g1post,LM,congruency,averaged_trial_response,glm_clean,balanced_accuracy,0.44305555555555554,0.037319524562623343,0.026388888888888892,2,76.0,75,77
g1post,LM,modality,averaged_trial_response,glm_clean,balanced_accuracy,0.7162037037037037,0.03339115355603141,0.02361111111111111,2,76.0,75,77
g1post,LM,trial_type,averaged_trial_response,glm_clean,balanced_accuracy,0.3763888888888889,0.003928371006591936,0.002777777777777782,2,76.0,75,77
g1post,LM,visual_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.923148148148148,0.0720201351208521,0.05092592592592596,2,76.0,75,77
g1post,V1,auditory_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.5558641975308641,0.04273593699602486,0.017446873219998507,6,246.16666666666666,59,392
