group,animal,log_date,log_date_iso,session_type,mouse_vid,calcium_note,log_roi_count,behavior_note,facemap_note,note,note2,note3,resolved_date,available_in_sessions_overview,available_path,grouping_selection,pre_date_for_animal,post_date_for_animal,loaded_pre_session_name,loaded_pre_total_n_neurons,loaded_pre_V1_n,loaded_pre_AM/PM_n,loaded_pre_A/RL/AL_n,loaded_pre_LM_n,loaded_pre_areas_used_in_decoding,current_pre_status
g1,Beta,29.10.2021,20211029,Bar_Tone_LR,1,"270 ROI (7/10) big zdrift around 2900 s in many neurons on bottom right (didn't take those neurons, not a problem in the other 2 recordings from the same location)",270,6 eyes fully-closed regularly squints very often,1,nice video,,,20211029,True,/Volumes/my_SSD/NiNdata/data/g1/Beta/20211029/Bar_Tone_LR/Beta_20211029_002_normcorr_SPSIG.mat,pre,20211029,20211128,Beta_20211029_002,270,0,96,169,0,"AM/PM,A/RL/AL",included: earliest available date for this animal becomes pre
g1,Beta,10.11.2021,20211110,Bar_Tone_LR,1,275 ROI (8/10) some noisy neurons but otherwise ok,275,"8 eyes almost never close, but quite often squints",1,overexposed video,,,20211110,False,,,,,,,,,,,,"excluded before grouping: session is not present in SessionsOverview, so no usable _SPSIG_Res export was found"
g1,Beta,28.11.2021,20211128,Bar_Tone_LR,1,244 ROI (8.5/10) probably the best of all 3,244,9 squints a bit but eyes do not close,1,overexposed video,,,20211128,True,/Volumes/my_SSD/NiNdata/data/g1/Beta/20211128/Bar_Tone_LR/Beta_20211128_002_normcorr_SPSIG.mat,post,20211029,20211128,,,,,,,,excluded from current pre: latest available date for this animal is assigned to post
g1,Delta,9.11.2021,20211109,Bar_Tone_LR,1,"99 ROI (7/10) not that many neurons, but some really nice ones",99,10,1,overexposed video,,,20211109,True,/Volumes/my_SSD/NiNdata/data/g1/Delta/20211109/Bar_Tone_LR/Delta_20211109_001_normcorr_SPSIG.mat,pre,20211109,20211210,Delta_20211109_001,99,0,0,99,0,A/RL/AL,included: earliest available date for this animal becomes pre
g1,Delta,10.12.2021,20211210,Bar_Tone_LR,0,109 ROI (7/10) not that many neurons but some really nice,109,?,1,overexposed video,,,20211210,True,/Volumes/my_SSD/NiNdata/data/g1/Delta/20211210/Bar_Tone_LR/Delta_20211210_002_normcorr_SPSIG.mat,post,20211109,20211210,,,,,,,,excluded from current pre: latest available date for this animal is assigned to post
g1,Epsilon,11.11.2021,20211111,Bar_Tone_LR,1,"413 ROI (10/10) many neurons, nice FOV",413,7 blinks a lot and sometimes closes eyes fully for seconds,1,overexposed video,,,20211111,True,/Volumes/my_SSD/NiNdata/data/g1/Epsilon/20211111/Bar_Tone_LR/Epsilon_20211111_003_normcorr_SPSIG.mat,pre,20211111,20211210,Epsilon_20211111_003,413,368,1,44,0,"V1,A/RL/AL",included: earliest available date for this animal becomes pre
g1,Epsilon,10.12.2021,20211210,Bar_Tone_LR,0,444 ROI (10/10),444,?,NO FACEMAP,,,,20211210,True,/Volumes/my_SSD/NiNdata/data/g1/Epsilon/20211210/Bar_Tone_LR/Epsilon_20211210_002_normcorr_SPSIG.mat,post,20211111,20211210,,,,,,,,excluded from current pre: latest available date for this animal is assigned to post
g1,Eta,11.11.2021,20211111,Bar_Tone_LR,1,421 ROI (10/10),421,10,1,overexposed video,,,20211111,True,/Volumes/my_SSD/NiNdata/data/g1/Eta/20211111/Bar_Tone_LR/Eta_20211111_002_normcorr_SPSIG.mat,pre,20211111,20211210,Eta_20211111_002,421,252,0,123,45,"V1,A/RL/AL,LM",included: earliest available date for this animal becomes pre
g1,Eta,10.12.2021,20211210,Bar_Tone_LR,0,626 ROI (10/10),626,?,NO FACEMAP,,,,20211210,True,/Volumes/my_SSD/NiNdata/data/g1/Eta/20211210/Bar_Tone_LR/Eta_20211210_002_normcorr_normcorr_SPSIG.mat,post,20211111,20211210,,,,,,,,excluded from current pre: latest available date for this animal is assigned to post
g1,Kappa,2.11.2021,20211102,Bar_Tone_LR,1,116 ROI (6.5/10) some really nice neurons but 4/5ths of FOV contain NO neurons,116,"8 sometimes half-closed - closed eyes for couple of seconds, mostly ok",1,nice video,,,20221102,True,/Volumes/my_SSD/NiNdata/data/g1/Kappa/20221102/Bar_Tone_LR/Kappa_20221102_002_normcorr_SPSIG.mat,pre,20221102,,Kappa_20221102_002,116,0,10,105,0,"AM/PM,A/RL/AL",included: only available date for this animal among sessions with _SPSIG_Res
