group,session_index,session_name,area,task,analysis,score,n_neurons,n_samples,n_classes,signal_source,scoring
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,averaged_trial_response,0.7314814814814816,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,averaged_trial_response,0.6814814814814816,96,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,congruency,averaged_trial_response,0.46944444444444444,96,360,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,modality,averaged_trial_response,0.6842592592592592,96,720,3,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,trial_type,averaged_trial_response,0.425,96,720,8,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,A/RL/AL,visual_direction,averaged_trial_response,0.6611111111111111,169,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,A/RL/AL,auditory_direction,averaged_trial_response,0.7796296296296296,169,540,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,A/RL/AL,congruency,averaged_trial_response,0.5083333333333334,169,360,2,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,A/RL/AL,modality,averaged_trial_response,0.7166666666666667,169,720,3,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,A/RL/AL,trial_type,averaged_trial_response,0.4541666666666667,169,720,8,glm_clean,balanced_accuracy
g1pre,1,Delta_20211109_001,A/RL/AL,visual_direction,averaged_trial_response,0.8796296296296298,99,540,2,glm_clean,balanced_accuracy
g1pre,1,Delta_20211109_001,A/RL/AL,auditory_direction,averaged_trial_response,0.9259259259259259,99,540,2,glm_clean,balanced_accuracy
g1pre,1,Delta_20211109_001,A/RL/AL,congruency,averaged_trial_response,0.538888888888889,99,360,2,glm_clean,balanced_accuracy
g1pre,1,Delta_20211109_001,A/RL/AL,modality,averaged_trial_response,0.9212962962962962,99,720,3,glm_clean,balanced_accuracy
g1pre,1,Delta_20211109_001,A/RL/AL,trial_type,averaged_trial_response,0.788888888888889,99,720,8,glm_clean,balanced_accuracy
g1pre,2,Epsilon_20211111_003,V1,visual_direction,averaged_trial_response,0.8277777777777778,368,540,2,glm_clean,balanced_accuracy
g1pre,2,Epsilon_20211111_003,V1,auditory_direction,averaged_trial_response,0.5203703703703704,368,540,2,glm_clean,balanced_accuracy
g1pre,2,Epsilon_20211111_003,V1,congruency,averaged_trial_response,0.5638888888888889,368,360,2,glm_clean,balanced_accuracy
g1pre,2,Epsilon_20211111_003,V1,modality,averaged_trial_response,0.649074074074074,368,720,3,glm_clean,balanced_accuracy
g1pre,2,Epsilon_20211111_003,V1,trial_type,averaged_trial_response,0.37638888888888883,368,720,8,glm_clean,balanced_accuracy
g1pre,2,Epsilon_20211111_003,A/RL/AL,visual_direction,averaged_trial_response,0.6351851851851852,44,540,2,glm_clean,balanced_accuracy
g1pre,2,Epsilon_20211111_003,A/RL/AL,auditory_direction,averaged_trial_response,0.5351851851851852,44,540,2,glm_clean,balanced_accuracy
g1pre,2,Epsilon_20211111_003,A/RL/AL,congruency,averaged_trial_response,0.5416666666666667,44,360,2,glm_clean,balanced_accuracy
g1pre,2,Epsilon_20211111_003,A/RL/AL,modality,averaged_trial_response,0.5620370370370371,44,720,3,glm_clean,balanced_accuracy
g1pre,2,Epsilon_20211111_003,A/RL/AL,trial_type,averaged_trial_response,0.2763888888888889,44,720,8,glm_clean,balanced_accuracy
g1pre,3,Eta_20211111_002,V1,visual_direction,averaged_trial_response,0.5814814814814815,252,540,2,glm_clean,balanced_accuracy
g1pre,3,Eta_20211111_002,V1,auditory_direction,averaged_trial_response,0.5074074074074074,252,540,2,glm_clean,balanced_accuracy
g1pre,3,Eta_20211111_002,V1,congruency,averaged_trial_response,0.4805555555555555,252,360,2,glm_clean,balanced_accuracy
g1pre,3,Eta_20211111_002,V1,modality,averaged_trial_response,0.4018518518518518,252,720,3,glm_clean,balanced_accuracy
g1pre,3,Eta_20211111_002,V1,trial_type,averaged_trial_response,0.14305555555555555,252,720,8,glm_clean,balanced_accuracy
