group,session_index,session_name,area,task,analysis,score,n_neurons,n_samples,n_classes,signal_source,scoring
g1pre,0,Beta_20211029_002,AM/PM,V_position,timepoint_position,0.11296296296296296,96,8100,15,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,A_position,timepoint_position,0.11975308641975309,96,8100,15,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,A/RL/AL,V_position,timepoint_position,0.11111111111111112,169,8100,15,glm_clean,balanced_accuracy
g1pre,0,Beta_20211029_002,A/RL/AL,A_position,timepoint_position,0.13098765432098763,169,8100,15,glm_clean,balanced_accuracy
g1pre,1,Delta_20211109_001,A/RL/AL,V_position,timepoint_position,0.16444444444444445,99,8100,15,glm_clean,balanced_accuracy
g1pre,1,Delta_20211109_001,A/RL/AL,A_position,timepoint_position,0.15493827160493828,99,8100,15,glm_clean,balanced_accuracy
g1pre,2,Epsilon_20211111_003,V1,V_position,timepoint_position,0.15407407407407409,368,8100,15,glm_clean,balanced_accuracy
g1pre,2,Epsilon_20211111_003,V1,A_position,timepoint_position,0.11567901234567901,368,8100,15,glm_clean,balanced_accuracy
g1pre,2,Epsilon_20211111_003,A/RL/AL,V_position,timepoint_position,0.08777777777777776,44,8100,15,glm_clean,balanced_accuracy
g1pre,2,Epsilon_20211111_003,A/RL/AL,A_position,timepoint_position,0.08407407407407408,44,8100,15,glm_clean,balanced_accuracy
g1pre,3,Eta_20211111_002,V1,V_position,timepoint_position,0.10691358024691358,252,8100,15,glm_clean,balanced_accuracy
g1pre,3,Eta_20211111_002,V1,A_position,timepoint_position,0.0791358024691358,252,8100,15,glm_clean,balanced_accuracy
g1pre,3,Eta_20211111_002,A/RL/AL,V_position,timepoint_position,0.09370370370370369,123,8100,15,glm_clean,balanced_accuracy
g1pre,3,Eta_20211111_002,A/RL/AL,A_position,timepoint_position,0.08172839506172838,123,8100,15,glm_clean,balanced_accuracy
g1pre,3,Eta_20211111_002,LM,V_position,timepoint_position,0.0817283950617284,45,8100,15,glm_clean,balanced_accuracy
g1pre,3,Eta_20211111_002,LM,A_position,timepoint_position,0.06765432098765432,45,8100,15,glm_clean,balanced_accuracy
g1pre,4,Kappa_20221102_002,AM/PM,V_position,timepoint_position,0.08444444444444445,10,8100,15,glm_clean,balanced_accuracy
g1pre,4,Kappa_20221102_002,AM/PM,A_position,timepoint_position,0.07938271604938271,10,8100,15,glm_clean,balanced_accuracy
g1pre,4,Kappa_20221102_002,A/RL/AL,V_position,timepoint_position,0.17135802469135802,105,8100,15,glm_clean,balanced_accuracy
g1pre,4,Kappa_20221102_002,A/RL/AL,A_position,timepoint_position,0.10308641975308641,105,8100,15,glm_clean,balanced_accuracy
g1pre,5,Poli_20220217_008,V1,V_position,timepoint_position,0.2899999999999999,146,8100,15,glm_clean,balanced_accuracy
g1pre,5,Poli_20220217_008,V1,A_position,timepoint_position,0.16246913580246913,146,8100,15,glm_clean,balanced_accuracy
g1pre,5,Poli_20220217_008,AM/PM,V_position,timepoint_position,0.11444444444444443,11,8100,15,glm_clean,balanced_accuracy
g1pre,5,Poli_20220217_008,AM/PM,A_position,timepoint_position,0.09407407407407406,11,8100,15,glm_clean,balanced_accuracy
g1pre,5,Poli_20220217_008,A/RL/AL,V_position,timepoint_position,0.08493827160493828,3,8100,15,glm_clean,balanced_accuracy
g1pre,5,Poli_20220217_008,A/RL/AL,A_position,timepoint_position,0.08666666666666666,3,8100,15,glm_clean,balanced_accuracy
g1pre,6,Theta_20220102_002,V1,V_position,timepoint_position,0.1385185185185185,26,8100,15,glm_clean,balanced_accuracy
g1pre,6,Theta_20220102_002,V1,A_position,timepoint_position,0.09716049382716048,26,8100,15,glm_clean,balanced_accuracy
g1pre,6,Theta_20220102_002,A/RL/AL,V_position,timepoint_position,0.16259259259259257,62,8100,15,glm_clean,balanced_accuracy
g1pre,6,Theta_20220102_002,A/RL/AL,A_position,timepoint_position,0.10703703703703704,62,8100,15,glm_clean,balanced_accuracy
g1pre,6,Theta_20220102_002,LM,V_position,timepoint_position,0.14864197530864195,64,8100,15,glm_clean,balanced_accuracy
g1pre,6,Theta_20220102_002,LM,A_position,timepoint_position,0.09753086419753086,64,8100,15,glm_clean,balanced_accuracy
g1pre,7,Zeta_20211202_002,V1,V_position,timepoint_position,0.1665432098765432,185,8100,15,glm_clean,balanced_accuracy
g1pre,7,Zeta_20211202_002,V1,A_position,timepoint_position,0.14666666666666667,185,8100,15,glm_clean,balanced_accuracy
g1pre,7,Zeta_20211202_002,A/RL/AL,V_position,timepoint_position,0.09790123456790124,50,8100,15,glm_clean,balanced_accuracy
g1pre,7,Zeta_20211202_002,A/RL/AL,A_position,timepoint_position,0.09308641975308642,50,8100,15,glm_clean,balanced_accuracy
g1pre,8,Zeta_20211202_011,V1,V_position,timepoint_position,0.1782716049382716,397,8100,15,glm_clean,balanced_accuracy
g1pre,8,Zeta_20211202_011,V1,A_position,timepoint_position,0.1085185185185185,397,8100,15,glm_clean,balanced_accuracy
g2pre,0,Dieciceis_20230725_002,AM/PM,V_position,timepoint_position,0.2635802469135803,185,8100,15,glm_clean,balanced_accuracy
g2pre,0,Dieciceis_20230725_002,AM/PM,A_position,timepoint_position,0.15814814814814812,185,8100,15,glm_clean,balanced_accuracy
g2pre,1,Diez_20220908_008,AM/PM,V_position,timepoint_position,0.23074074074074075,159,8100,15,glm_clean,balanced_accuracy
g2pre,1,Diez_20220908_008,AM/PM,A_position,timepoint_position,0.13530864197530862,159,8100,15,glm_clean,balanced_accuracy
g2pre,1,Diez_20220908_008,A/RL/AL,V_position,timepoint_position,0.1625925925925926,113,8100,15,glm_clean,balanced_accuracy
g2pre,1,Diez_20220908_008,A/RL/AL,A_position,timepoint_position,0.1350617283950617,113,8100,15,glm_clean,balanced_accuracy
g2pre,2,Duo_000_002,V1,V_position,timepoint_position,0.25876543209876546,177,8100,15,glm_clean,balanced_accuracy
g2pre,2,Duo_000_002,V1,A_position,timepoint_position,0.13493827160493826,177,8100,15,glm_clean,balanced_accuracy
g2pre,2,Duo_000_002,A/RL/AL,V_position,timepoint_position,0.234320987654321,71,8100,15,glm_clean,balanced_accuracy
g2pre,2,Duo_000_002,A/RL/AL,A_position,timepoint_position,0.13518518518518519,71,8100,15,glm_clean,balanced_accuracy
g2pre,3,Nueve_20220804_001,V1,V_position,timepoint_position,0.3997530864197531,331,8100,15,glm_clean,balanced_accuracy
g2pre,3,Nueve_20220804_001,V1,A_position,timepoint_position,0.18123456790123454,331,8100,15,glm_clean,balanced_accuracy
g2pre,4,Ocho_20220804_006,V1,V_position,timepoint_position,0.25395061728395063,60,8100,15,glm_clean,balanced_accuracy
g2pre,4,Ocho_20220804_006,V1,A_position,timepoint_position,0.141358024691358,60,8100,15,glm_clean,balanced_accuracy
g2pre,4,Ocho_20220804_006,A/RL/AL,V_position,timepoint_position,0.1548148148148148,15,8100,15,glm_clean,balanced_accuracy
g2pre,4,Ocho_20220804_006,A/RL/AL,A_position,timepoint_position,0.10296296296296296,15,8100,15,glm_clean,balanced_accuracy
g2pre,4,Ocho_20220804_006,LM,V_position,timepoint_position,0.2479012345679012,71,8100,15,glm_clean,balanced_accuracy
g2pre,4,Ocho_20220804_006,LM,A_position,timepoint_position,0.14419753086419754,71,8100,15,glm_clean,balanced_accuracy
g2pre,5,Once_20230721_003,AM/PM,V_position,timepoint_position,0.08074074074074074,5,8100,15,glm_clean,balanced_accuracy
g2pre,5,Once_20230721_003,AM/PM,A_position,timepoint_position,0.07407407407407407,5,8100,15,glm_clean,balanced_accuracy
g2pre,5,Once_20230721_003,A/RL/AL,V_position,timepoint_position,0.1448148148148148,111,8100,15,glm_clean,balanced_accuracy
g2pre,5,Once_20230721_003,A/RL/AL,A_position,timepoint_position,0.12259259259259259,111,8100,15,glm_clean,balanced_accuracy
g2pre,6,Quatro_20220128_001,V1,V_position,timepoint_position,0.33395061728395065,334,8100,15,glm_clean,balanced_accuracy
g2pre,6,Quatro_20220128_001,V1,A_position,timepoint_position,0.17037037037037034,334,8100,15,glm_clean,balanced_accuracy
g2pre,7,Quince_20230725_001,V1,V_position,timepoint_position,0.2277777777777778,95,8100,15,glm_clean,balanced_accuracy
g2pre,7,Quince_20230725_001,V1,A_position,timepoint_position,0.1482716049382716,95,8100,15,glm_clean,balanced_accuracy
g2pre,8,Quince_20230725_003,A/RL/AL,V_position,timepoint_position,0.1685185185185185,149,8100,15,glm_clean,balanced_accuracy
g2pre,8,Quince_20230725_003,A/RL/AL,A_position,timepoint_position,0.12987654320987657,149,8100,15,glm_clean,balanced_accuracy
g2pre,9,Siette_20220802_003,V1,V_position,timepoint_position,0.15888888888888889,10,8100,15,glm_clean,balanced_accuracy
g2pre,9,Siette_20220802_003,V1,A_position,timepoint_position,0.10037037037037037,10,8100,15,glm_clean,balanced_accuracy
g2pre,9,Siette_20220802_003,A/RL/AL,V_position,timepoint_position,0.27135802469135806,77,8100,15,glm_clean,balanced_accuracy
g2pre,9,Siette_20220802_003,A/RL/AL,A_position,timepoint_position,0.12876543209876543,77,8100,15,glm_clean,balanced_accuracy
g2pre,9,Siette_20220802_003,LM,V_position,timepoint_position,0.08148148148148147,2,8100,15,glm_clean,balanced_accuracy
g2pre,9,Siette_20220802_003,LM,A_position,timepoint_position,0.06679012345679011,2,8100,15,glm_clean,balanced_accuracy
g2pre,10,Trece_20230721_001,V1,V_position,timepoint_position,0.3255555555555556,187,8100,15,glm_clean,balanced_accuracy
g2pre,10,Trece_20230721_001,V1,A_position,timepoint_position,0.17172839506172838,187,8100,15,glm_clean,balanced_accuracy
g2pre,11,Tres_20220119_001,V1,V_position,timepoint_position,0.32814814814814813,442,8100,15,glm_clean,balanced_accuracy
g2pre,11,Tres_20220119_001,V1,A_position,timepoint_position,0.17148148148148148,442,8100,15,glm_clean,balanced_accuracy
g2pre,11,Tres_20220119_001,AM/PM,V_position,timepoint_position,0.1782716049382716,186,8100,15,glm_clean,balanced_accuracy
g2pre,11,Tres_20220119_001,AM/PM,A_position,timepoint_position,0.1348148148148148,186,8100,15,glm_clean,balanced_accuracy
g2pre,11,Tres_20220119_001,A/RL/AL,V_position,timepoint_position,0.16148148148148148,64,8100,15,glm_clean,balanced_accuracy
g2pre,11,Tres_20220119_001,A/RL/AL,A_position,timepoint_position,0.11901234567901235,64,8100,15,glm_clean,balanced_accuracy
