group,area,task,analysis,signal_source,scoring,mean_score,std_score,sem_score,n_sessions,mean_neurons,min_neurons,max_neurons
g1pre,A/RL/AL,auditory_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.6193121693121694,0.1672823236089748,0.06322677528662517,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,averaged_trial_response,glm_clean,balanced_accuracy,0.5234126984126984,0.027257023430276826,0.010302186496624741,7,93.14285714285714,44,169
g1pre,A/RL/AL,modality,averaged_trial_response,glm_clean,balanced_accuracy,0.6337301587301587,0.1985788105355885,0.0750557354748829,7,93.14285714285714,44,169
g1pre,A/RL/AL,trial_type,averaged_trial_response,glm_clean,balanced_accuracy,0.3815476190476191,0.21710502054786748,0.08205798467903218,7,93.14285714285714,44,169
g1pre,A/RL/AL,visual_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.7444444444444445,0.18603508673887942,0.07031465352048644,7,93.14285714285714,44,169
g1pre,AM/PM,auditory_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.6814814814814816,,,1,96.0,96,96
g1pre,AM/PM,congruency,averaged_trial_response,glm_clean,balanced_accuracy,0.46944444444444444,,,1,96.0,96,96
g1pre,AM/PM,modality,averaged_trial_response,glm_clean,balanced_accuracy,0.6842592592592592,,,1,96.0,96,96
g1pre,AM/PM,trial_type,averaged_trial_response,glm_clean,balanced_accuracy,0.425,,,1,96.0,96,96
g1pre,AM/PM,visual_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.7314814814814816,,,1,96.0,96,96
g1pre,LM,auditory_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.5296296296296297,0.018332398030762448,0.012962962962963037,2,54.5,45,64
g1pre,LM,congruency,averaged_trial_response,glm_clean,balanced_accuracy,0.5291666666666668,0.0019641855032958406,0.0013888888888888007,2,54.5,45,64
g1pre,LM,modality,averaged_trial_response,glm_clean,balanced_accuracy,0.5328703703703703,0.20754893484827364,0.14675925925925923,2,54.5,45,64
g1pre,LM,trial_type,averaged_trial_response,glm_clean,balanced_accuracy,0.2513888888888889,0.12963624321753373,0.09166666666666667,2,54.5,45,64
g1pre,LM,visual_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.6953703703703703,0.22391714737574003,0.15833333333333333,2,54.5,45,64
g1pre,V1,auditory_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.54,0.046565881762372655,0.020824895410576593,5,269.6,146,397
g1pre,V1,congruency,averaged_trial_response,glm_clean,balanced_accuracy,0.5016666666666667,0.04785523437190674,0.021401511426953585,5,269.6,146,397
g1pre,V1,modality,averaged_trial_response,glm_clean,balanced_accuracy,0.5872222222222222,0.19251845973521683,0.0860968725783002,5,269.6,146,397
g1pre,V1,trial_type,averaged_trial_response,glm_clean,balanced_accuracy,0.3275,0.17465353710901865,0.07810743629730957,5,269.6,146,397
g1pre,V1,visual_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.7814814814814814,0.18479124766238253,0.08264115828401729,5,269.6,146,397
g2pre,A/RL/AL,auditory_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.591358024691358,0.07646750537413637,0.03121772834502743,6,97.5,64,149
g2pre,A/RL/AL,congruency,averaged_trial_response,glm_clean,balanced_accuracy,0.5106481481481482,0.037737587554099124,0.015406305605191321,6,97.5,64,149
g2pre,A/RL/AL,modality,averaged_trial_response,glm_clean,balanced_accuracy,0.774537037037037,0.05557329963546446,0.022687704571614387,6,97.5,64,149
g2pre,A/RL/AL,trial_type,averaged_trial_response,glm_clean,balanced_accuracy,0.48194444444444445,0.09511201972567031,0.03882931945557012,6,97.5,64,149
g2pre,A/RL/AL,visual_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.9040123456790123,0.08371858821007695,0.03417797051681203,6,97.5,64,149
g2pre,AM/PM,auditory_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.6166666666666667,0.05925925925925925,0.03421334928531115,3,176.66666666666666,159,186
g2pre,AM/PM,congruency,averaged_trial_response,glm_clean,balanced_accuracy,0.5064814814814814,0.03892194362404396,0.02247159462872522,3,176.66666666666666,159,186
g2pre,AM/PM,modality,averaged_trial_response,glm_clean,balanced_accuracy,0.8444444444444444,0.06459619213551814,0.03729462891806618,3,176.66666666666666,159,186
g2pre,AM/PM,trial_type,averaged_trial_response,glm_clean,balanced_accuracy,0.5976851851851852,0.0712857736342515,0.041156860597125824,3,176.66666666666666,159,186
g2pre,AM/PM,visual_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.9858024691358024,0.008350462505227649,0.00482114177525106,3,176.66666666666666,159,186
g2pre,LM,auditory_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.5037037037037037,,,1,71.0,71,71
g2pre,LM,congruency,averaged_trial_response,glm_clean,balanced_accuracy,0.48611111111111105,,,1,71.0,71,71
g2pre,LM,modality,averaged_trial_response,glm_clean,balanced_accuracy,0.7138888888888888,,,1,71.0,71,71
g2pre,LM,trial_type,averaged_trial_response,glm_clean,balanced_accuracy,0.4,,,1,71.0,71,71
g2pre,LM,visual_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.9555555555555555,,,1,71.0,71,71
g2pre,V1,auditory_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.5502645502645503,0.04127634145888164,0.015600990647255118,7,232.28571428571428,60,442
g2pre,V1,congruency,averaged_trial_response,glm_clean,balanced_accuracy,0.511904761904762,0.056376213812502886,0.02130820594389817,7,232.28571428571428,60,442
g2pre,V1,modality,averaged_trial_response,glm_clean,balanced_accuracy,0.819047619047619,0.06015397372766783,0.022736064979388872,7,232.28571428571428,60,442
g2pre,V1,trial_type,averaged_trial_response,glm_clean,balanced_accuracy,0.5236111111111111,0.08475257501216953,0.032033462350649654,7,232.28571428571428,60,442
g2pre,V1,visual_direction,averaged_trial_response,glm_clean,balanced_accuracy,0.9656084656084655,0.06310674525972733,0.023852107715420387,7,232.28571428571428,60,442
