group,area,task,analysis,signal_source,scoring,time_index,time_s,stimulus_offset_s,mean_score,std_score,sem_score,n_sessions,mean_neurons,min_neurons,max_neurons
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,0,-0.9704341075240991,1.0351297146923724,0.503968253968254,0.012442302662756427,0.004702748368950038,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,1,-0.9057385003558258,1.0351297146923724,0.49788359788359793,0.015174212063174581,0.005735313065788039,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,2,-0.8410428931875525,1.0351297146923724,0.5103174603174603,0.02884487670755112,0.010902338623785693,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,3,-0.7763472860192793,1.0351297146923724,0.4976190476190476,0.030666918009688317,0.011591005504349024,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,4,-0.711651678851006,1.0351297146923724,0.4976190476190476,0.022698453809527685,0.008579209132242418,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,5,-0.6469560716827327,1.0351297146923724,0.4994708994708995,0.03322537878315039,0.012558012782305396,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,6,-0.5822604645144595,1.0351297146923724,0.4928571428571429,0.028517487784575375,0.010778597242044106,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,7,-0.5175648573461862,1.0351297146923724,0.514021164021164,0.018575749307697217,0.007020973297835296,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,8,-0.4528692501779129,1.0351297146923724,0.49629629629629635,0.03521765882863185,0.013311023859782594,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,9,-0.38817364300963964,1.0351297146923724,0.4920634920634921,0.025742612191368017,0.00972979285079132,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,10,-0.32347803584136636,1.0351297146923724,0.5074074074074074,0.027859960731843793,0.010530075376069105,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,11,-0.2587824286730931,1.0351297146923724,0.5113756613756614,0.02807309217289547,0.010610631488867898,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,12,-0.19408682150481982,1.0351297146923724,0.511904761904762,0.04089277388695433,0.015456015732068182,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,13,-0.12939121433654655,1.0351297146923724,0.503968253968254,0.054237750882074456,0.02049994292934902,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,14,-0.06469560716827327,1.0351297146923724,0.5007936507936508,0.028163112146094207,0.010644655840598264,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,15,0.0,1.0351297146923724,0.4917989417989418,0.018667828412100313,0.007055775928006173,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,16,0.06469560716827327,1.0351297146923724,0.5042328042328043,0.028523213612920324,0.010780761401737048,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,17,0.12939121433654655,1.0351297146923724,0.511904761904762,0.02470348026943638,0.009337037901531365,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,18,0.19408682150481982,1.0351297146923724,0.5198412698412699,0.03908993133437867,0.014774605296765313,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,19,0.2587824286730931,1.0351297146923724,0.5928571428571427,0.10557411885410407,0.039903266196104965,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,20,0.32347803584136636,1.0351297146923724,0.6105820105820107,0.14994936763849062,0.05667553371754898,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,21,0.38817364300963964,1.0351297146923724,0.6039682539682539,0.17261480732964934,0.0652422646859402,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,22,0.4528692501779129,1.0351297146923724,0.6047619047619047,0.1742409796858773,0.06585690006358408,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,23,0.5175648573461862,1.0351297146923724,0.6171957671957672,0.17219804119938803,0.0650847418951479,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,24,0.5822604645144595,1.0351297146923724,0.6256613756613757,0.17117172170689865,0.06469682958903006,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,25,0.6469560716827327,1.0351297146923724,0.6261904761904763,0.16609445176872872,0.06277780193252407,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,26,0.711651678851006,1.0351297146923724,0.6211640211640211,0.16190685120437265,0.06119503769204407,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,27,0.7763472860192793,1.0351297146923724,0.6082010582010582,0.1552792120006246,0.05869002553310415,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,28,0.8410428931875525,1.0351297146923724,0.6,0.14078946524998667,0.05321341603846213,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,29,0.9057385003558258,1.0351297146923724,0.5857142857142856,0.13234680597851275,0.05002239077612302,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,30,0.9704341075240991,1.0351297146923724,0.5894179894179894,0.12700029291572265,0.048001598783908604,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,31,1.0351297146923724,1.0351297146923724,0.5857142857142856,0.13795038589500425,0.05214034490622482,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,32,1.0998253218606455,1.0351297146923724,0.5846560846560847,0.13355483267452545,0.05047898194966253,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,33,1.164520929028919,1.0351297146923724,0.5944444444444444,0.1340174493344387,0.05065383461173194,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,34,1.229216536197192,1.0351297146923724,0.584126984126984,0.13676088768749373,0.05169075684307768,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,35,1.2939121433654655,1.0351297146923724,0.6,0.12749117975175672,0.04818713656819739,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,36,1.3586077505337386,1.0351297146923724,0.5857142857142856,0.11527047319667641,0.043568143655306056,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,37,1.423303357702012,1.0351297146923724,0.5785714285714285,0.11664636871660598,0.04408818328041199,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,38,1.4879989648702852,1.0351297146923724,0.5706349206349206,0.1308558780757079,0.04945887299704463,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,39,1.5526945720385585,1.0351297146923724,0.5658730158730159,0.12347773190990541,0.04667019586970204,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,40,1.6173901792068317,1.0351297146923724,0.5796296296296296,0.10381937992896136,0.03924003722299462,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,41,1.682085786375105,1.0351297146923724,0.5761904761904761,0.11428306058712792,0.04319493676869539,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,42,1.7467813935433782,1.0351297146923724,0.5687830687830688,0.11158043151514645,0.0421734389957645,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,43,1.8114770007116516,1.0351297146923724,0.5603174603174603,0.11532571090748112,0.043589021547560586,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,44,1.8761726078799248,1.0351297146923724,0.5753968253968254,0.09154789840299646,0.03460185317499083,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,glm_clean,balanced_accuracy,45,1.9408682150481982,1.0351297146923724,0.5417989417989418,0.10863947006891854,0.041061860052600506,7,93.14285714285714,44,169
