group,session_index,session_name,area,task,analysis,score,n_neurons,n_samples,n_classes,signal_source,scoring
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,averaged_trial_response,0.7240740740740741,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,averaged_trial_response,0.6759259259259259,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,congruency,averaged_trial_response,0.46944444444444444,96,360,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,modality,averaged_trial_response,0.6768518518518519,96,720,3,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,trial_type,averaged_trial_response,0.4138888888888889,96,720,8,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,A/RL/AL,visual_direction,averaged_trial_response,0.6481481481481481,169,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,A/RL/AL,auditory_direction,averaged_trial_response,0.7796296296296296,169,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,A/RL/AL,congruency,averaged_trial_response,0.5333333333333333,169,360,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,A/RL/AL,modality,averaged_trial_response,0.7212962962962963,169,720,3,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,A/RL/AL,trial_type,averaged_trial_response,0.44305555555555565,169,720,8,signal,balanced_accuracy
g1pre,1,Delta_20211109_001,A/RL/AL,visual_direction,averaged_trial_response,0.8870370370370371,99,540,2,signal,balanced_accuracy
g1pre,1,Delta_20211109_001,A/RL/AL,auditory_direction,averaged_trial_response,0.9296296296296296,99,540,2,signal,balanced_accuracy
g1pre,1,Delta_20211109_001,A/RL/AL,congruency,averaged_trial_response,0.525,99,360,2,signal,balanced_accuracy
g1pre,1,Delta_20211109_001,A/RL/AL,modality,averaged_trial_response,0.9259259259259259,99,720,3,signal,balanced_accuracy
g1pre,1,Delta_20211109_001,A/RL/AL,trial_type,averaged_trial_response,0.7875,99,720,8,signal,balanced_accuracy
g1pre,2,Epsilon_20211111_003,V1,visual_direction,averaged_trial_response,0.8351851851851851,368,540,2,signal,balanced_accuracy
g1pre,2,Epsilon_20211111_003,V1,auditory_direction,averaged_trial_response,0.5148148148148148,368,540,2,signal,balanced_accuracy
g1pre,2,Epsilon_20211111_003,V1,congruency,averaged_trial_response,0.5611111111111111,368,360,2,signal,balanced_accuracy
g1pre,2,Epsilon_20211111_003,V1,modality,averaged_trial_response,0.6388888888888887,368,720,3,signal,balanced_accuracy
g1pre,2,Epsilon_20211111_003,V1,trial_type,averaged_trial_response,0.36527777777777776,368,720,8,signal,balanced_accuracy
g1pre,2,Epsilon_20211111_003,A/RL/AL,visual_direction,averaged_trial_response,0.6296296296296297,44,540,2,signal,balanced_accuracy
g1pre,2,Epsilon_20211111_003,A/RL/AL,auditory_direction,averaged_trial_response,0.537037037037037,44,540,2,signal,balanced_accuracy
g1pre,2,Epsilon_20211111_003,A/RL/AL,congruency,averaged_trial_response,0.5583333333333333,44,360,2,signal,balanced_accuracy
g1pre,2,Epsilon_20211111_003,A/RL/AL,modality,averaged_trial_response,0.5731481481481481,44,720,3,signal,balanced_accuracy
g1pre,2,Epsilon_20211111_003,A/RL/AL,trial_type,averaged_trial_response,0.27222222222222214,44,720,8,signal,balanced_accuracy
g1pre,3,Eta_20211111_002,V1,visual_direction,averaged_trial_response,0.587037037037037,252,540,2,signal,balanced_accuracy
g1pre,3,Eta_20211111_002,V1,auditory_direction,averaged_trial_response,0.512962962962963,252,540,2,signal,balanced_accuracy
g1pre,3,Eta_20211111_002,V1,congruency,averaged_trial_response,0.49444444444444446,252,360,2,signal,balanced_accuracy
g1pre,3,Eta_20211111_002,V1,modality,averaged_trial_response,0.4148148148148148,252,720,3,signal,balanced_accuracy
g1pre,3,Eta_20211111_002,V1,trial_type,averaged_trial_response,0.14444444444444443,252,720,8,signal,balanced_accuracy
g1pre,3,Eta_20211111_002,A/RL/AL,visual_direction,averaged_trial_response,0.6185185185185185,123,540,2,signal,balanced_accuracy
g1pre,3,Eta_20211111_002,A/RL/AL,auditory_direction,averaged_trial_response,0.5203703703703704,123,540,2,signal,balanced_accuracy
g1pre,3,Eta_20211111_002,A/RL/AL,congruency,averaged_trial_response,0.5444444444444445,123,360,2,signal,balanced_accuracy
g1pre,3,Eta_20211111_002,A/RL/AL,modality,averaged_trial_response,0.43240740740740735,123,720,3,signal,balanced_accuracy
g1pre,3,Eta_20211111_002,A/RL/AL,trial_type,averaged_trial_response,0.18194444444444444,123,720,8,signal,balanced_accuracy
g1pre,3,Eta_20211111_002,LM,visual_direction,averaged_trial_response,0.5370370370370371,45,540,2,signal,balanced_accuracy
g1pre,3,Eta_20211111_002,LM,auditory_direction,averaged_trial_response,0.5148148148148148,45,540,2,signal,balanced_accuracy
g1pre,3,Eta_20211111_002,LM,congruency,averaged_trial_response,0.538888888888889,45,360,2,signal,balanced_accuracy
g1pre,3,Eta_20211111_002,LM,modality,averaged_trial_response,0.39444444444444443,45,720,3,signal,balanced_accuracy
g1pre,3,Eta_20211111_002,LM,trial_type,averaged_trial_response,0.16111111111111112,45,720,8,signal,balanced_accuracy
g1pre,4,Kappa_20221102_002,AM/PM,visual_direction,averaged_trial_response,0.5703703703703704,10,540,2,signal,balanced_accuracy
g1pre,4,Kappa_20221102_002,AM/PM,auditory_direction,averaged_trial_response,0.538888888888889,10,540,2,signal,balanced_accuracy
g1pre,4,Kappa_20221102_002,AM/PM,congruency,averaged_trial_response,0.5222222222222224,10,360,2,signal,balanced_accuracy
g1pre,4,Kappa_20221102_002,AM/PM,modality,averaged_trial_response,0.5555555555555556,10,720,3,signal,balanced_accuracy
g1pre,4,Kappa_20221102_002,AM/PM,trial_type,averaged_trial_response,0.2444444444444444,10,720,8,signal,balanced_accuracy
g1pre,4,Kappa_20221102_002,A/RL/AL,visual_direction,averaged_trial_response,0.9259259259259259,105,540,2,signal,balanced_accuracy
g1pre,4,Kappa_20221102_002,A/RL/AL,auditory_direction,averaged_trial_response,0.5425925925925926,105,540,2,signal,balanced_accuracy
g1pre,4,Kappa_20221102_002,A/RL/AL,congruency,averaged_trial_response,0.513888888888889,105,360,2,signal,balanced_accuracy
g1pre,4,Kappa_20221102_002,A/RL/AL,modality,averaged_trial_response,0.7824074074074074,105,720,3,signal,balanced_accuracy
g1pre,4,Kappa_20221102_002,A/RL/AL,trial_type,averaged_trial_response,0.44027777777777777,105,720,8,signal,balanced_accuracy
g1pre,5,Poli_20220217_008,V1,visual_direction,averaged_trial_response,0.9574074074074075,146,540,2,signal,balanced_accuracy
g1pre,5,Poli_20220217_008,V1,auditory_direction,averaged_trial_response,0.6148148148148148,146,540,2,signal,balanced_accuracy
g1pre,5,Poli_20220217_008,V1,congruency,averaged_trial_response,0.48611111111111105,146,360,2,signal,balanced_accuracy
g1pre,5,Poli_20220217_008,V1,modality,averaged_trial_response,0.7620370370370371,146,720,3,signal,balanced_accuracy
g1pre,5,Poli_20220217_008,V1,trial_type,averaged_trial_response,0.4875,146,720,8,signal,balanced_accuracy
g1pre,5,Poli_20220217_008,AM/PM,visual_direction,averaged_trial_response,0.7907407407407406,11,540,2,signal,balanced_accuracy
g1pre,5,Poli_20220217_008,AM/PM,auditory_direction,averaged_trial_response,0.5074074074074074,11,540,2,signal,balanced_accuracy
g1pre,5,Poli_20220217_008,AM/PM,congruency,averaged_trial_response,0.5111111111111111,11,360,2,signal,balanced_accuracy
g1pre,5,Poli_20220217_008,AM/PM,modality,averaged_trial_response,0.5583333333333333,11,720,3,signal,balanced_accuracy
g1pre,5,Poli_20220217_008,AM/PM,trial_type,averaged_trial_response,0.2694444444444445,11,720,8,signal,balanced_accuracy
g1pre,5,Poli_20220217_008,A/RL/AL,visual_direction,averaged_trial_response,0.5444444444444445,3,540,2,signal,balanced_accuracy
g1pre,5,Poli_20220217_008,A/RL/AL,auditory_direction,averaged_trial_response,0.5277777777777778,3,540,2,signal,balanced_accuracy
g1pre,5,Poli_20220217_008,A/RL/AL,congruency,averaged_trial_response,0.5333333333333334,3,360,2,signal,balanced_accuracy
g1pre,5,Poli_20220217_008,A/RL/AL,modality,averaged_trial_response,0.3731481481481482,3,720,3,signal,balanced_accuracy
g1pre,5,Poli_20220217_008,A/RL/AL,trial_type,averaged_trial_response,0.15416666666666667,3,720,8,signal,balanced_accuracy
g1pre,6,Theta_20220102_002,V1,visual_direction,averaged_trial_response,0.7296296296296296,26,540,2,signal,balanced_accuracy
g1pre,6,Theta_20220102_002,V1,auditory_direction,averaged_trial_response,0.5018518518518519,26,540,2,signal,balanced_accuracy
g1pre,6,Theta_20220102_002,V1,congruency,averaged_trial_response,0.4666666666666666,26,360,2,signal,balanced_accuracy
g1pre,6,Theta_20220102_002,V1,modality,averaged_trial_response,0.6398148148148148,26,720,3,signal,balanced_accuracy
g1pre,6,Theta_20220102_002,V1,trial_type,averaged_trial_response,0.30972222222222223,26,720,8,signal,balanced_accuracy
g1pre,6,Theta_20220102_002,A/RL/AL,visual_direction,averaged_trial_response,0.9944444444444445,62,540,2,signal,balanced_accuracy
g1pre,6,Theta_20220102_002,A/RL/AL,auditory_direction,averaged_trial_response,0.5574074074074074,62,540,2,signal,balanced_accuracy
g1pre,6,Theta_20220102_002,A/RL/AL,congruency,averaged_trial_response,0.4722222222222222,62,360,2,signal,balanced_accuracy
g1pre,6,Theta_20220102_002,A/RL/AL,modality,averaged_trial_response,0.6787037037037037,62,720,3,signal,balanced_accuracy
g1pre,6,Theta_20220102_002,A/RL/AL,trial_type,averaged_trial_response,0.4027777777777777,62,720,8,signal,balanced_accuracy
g1pre,6,Theta_20220102_002,LM,visual_direction,averaged_trial_response,0.8518518518518519,64,540,2,signal,balanced_accuracy
g1pre,6,Theta_20220102_002,LM,auditory_direction,averaged_trial_response,0.512962962962963,64,540,2,signal,balanced_accuracy
