group,session_index,session_name,area,task,analysis,score,n_neurons,n_samples,n_classes,signal_source,scoring
g1pre,0,Beta_20211029_002,AM/PM,V_position,timepoint_position,0.11160493827160493,96,8100,15,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,A_position,timepoint_position,0.1228395061728395,96,8100,15,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,A/RL/AL,V_position,timepoint_position,0.11222222222222222,169,8100,15,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,A/RL/AL,A_position,timepoint_position,0.1303703703703704,169,8100,15,signal,balanced_accuracy
g1pre,1,Delta_20211109_001,A/RL/AL,V_position,timepoint_position,0.16938271604938268,99,8100,15,signal,balanced_accuracy
g1pre,1,Delta_20211109_001,A/RL/AL,A_position,timepoint_position,0.1569135802469136,99,8100,15,signal,balanced_accuracy
g1pre,2,Epsilon_20211111_003,V1,V_position,timepoint_position,0.1548148148148148,368,8100,15,signal,balanced_accuracy
g1pre,2,Epsilon_20211111_003,V1,A_position,timepoint_position,0.11469135802469137,368,8100,15,signal,balanced_accuracy
g1pre,2,Epsilon_20211111_003,A/RL/AL,V_position,timepoint_position,0.08716049382716048,44,8100,15,signal,balanced_accuracy
g1pre,2,Epsilon_20211111_003,A/RL/AL,A_position,timepoint_position,0.08469135802469137,44,8100,15,signal,balanced_accuracy
g1pre,3,Eta_20211111_002,V1,V_position,timepoint_position,0.11074074074074072,252,8100,15,signal,balanced_accuracy
g1pre,3,Eta_20211111_002,V1,A_position,timepoint_position,0.08518518518518518,252,8100,15,signal,balanced_accuracy
g1pre,3,Eta_20211111_002,A/RL/AL,V_position,timepoint_position,0.09679012345679013,123,8100,15,signal,balanced_accuracy
g1pre,3,Eta_20211111_002,A/RL/AL,A_position,timepoint_position,0.08086419753086418,123,8100,15,signal,balanced_accuracy
g1pre,3,Eta_20211111_002,LM,V_position,timepoint_position,0.07950617283950617,45,8100,15,signal,balanced_accuracy
g1pre,3,Eta_20211111_002,LM,A_position,timepoint_position,0.06938271604938272,45,8100,15,signal,balanced_accuracy
g1pre,4,Kappa_20221102_002,A/RL/AL,V_position,timepoint_position,0.17296296296296296,105,8100,15,signal,balanced_accuracy
g1pre,4,Kappa_20221102_002,A/RL/AL,A_position,timepoint_position,0.10641975308641975,105,8100,15,signal,balanced_accuracy
g1pre,5,Poli_20220217_008,V1,V_position,timepoint_position,0.2917283950617284,146,8100,15,signal,balanced_accuracy
