group,session_index,session_name,area,task,analysis,time_index,time_s,stimulus_offset_s,score,std_score,n_neurons,n_samples,n_classes,signal_source,scoring
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,0,-0.9704341075240991,1.0351297146923724,0.5037037037037038,0.051586623248830045,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,1,-0.9057385003558258,1.0351297146923724,0.537037037037037,0.021114359724058118,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,2,-0.8410428931875525,1.0351297146923724,0.48703703703703705,0.02783943773772762,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,3,-0.7763472860192793,1.0351297146923724,0.47222222222222215,0.01549370419507547,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,4,-0.711651678851006,1.0351297146923724,0.4851851851851852,0.026579074248902462,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,5,-0.6469560716827327,1.0351297146923724,0.4814814814814815,0.05616944773371519,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,6,-0.5822604645144595,1.0351297146923724,0.4851851851851851,0.04082482904638631,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,7,-0.5175648573461862,1.0351297146923724,0.5055555555555556,0.039544734266782657,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,8,-0.4528692501779129,1.0351297146923724,0.5111111111111111,0.01888525745775105,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,9,-0.38817364300963964,1.0351297146923724,0.5203703703703704,0.03333333333333337,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,10,-0.32347803584136636,1.0351297146923724,0.49074074074074076,0.026835882863313787,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,11,-0.2587824286730931,1.0351297146923724,0.4537037037037037,0.044212356986345624,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,12,-0.19408682150481982,1.0351297146923724,0.47222222222222215,0.03928371006591931,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,13,-0.12939121433654655,1.0351297146923724,0.49444444444444446,0.03343605571345889,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,14,-0.06469560716827327,1.0351297146923724,0.47777777777777775,0.03291923858265034,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,15,0.0,1.0351297146923724,0.4722222222222222,0.044212356986345645,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,16,0.06469560716827327,1.0351297146923724,0.4648148148148147,0.03857901232592529,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,17,0.12939121433654655,1.0351297146923724,0.5,0.028084723866857595,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,18,0.19408682150481982,1.0351297146923724,0.5,0.021114359724058097,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,19,0.2587824286730931,1.0351297146923724,0.6481481481481481,0.03749714209503072,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,20,0.32347803584136636,1.0351297146923724,0.7351851851851852,0.04287347001033417,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,21,0.38817364300963964,1.0351297146923724,0.8092592592592591,0.029629629629629634,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,22,0.4528692501779129,1.0351297146923724,0.8055555555555556,0.029280348705262783,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,23,0.5175648573461862,1.0351297146923724,0.7481481481481481,0.02832788618662658,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,24,0.5822604645144595,1.0351297146923724,0.7037037037037037,0.0185185185185185,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,25,0.6469560716827327,1.0351297146923724,0.6759259259259259,0.034146460952936615,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,26,0.711651678851006,1.0351297146923724,0.6444444444444445,0.023859442086528015,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,27,0.7763472860192793,1.0351297146923724,0.6703703703703703,0.027839437737727627,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,28,0.8410428931875525,1.0351297146923724,0.6148148148148149,0.027216552697590875,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,29,0.9057385003558258,1.0351297146923724,0.5611111111111111,0.02385944208652801,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,30,0.9704341075240991,1.0351297146923724,0.5833333333333334,0.04969039949999533,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,31,1.0351297146923724,1.0351297146923724,0.6537037037037037,0.02237601106221213,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,32,1.0998253218606455,1.0351297146923724,0.5944444444444443,0.048784962490072185,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,33,1.164520929028919,1.0351297146923724,0.624074074074074,0.02385944208652804,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,34,1.229216536197192,1.0351297146923724,0.6574074074074074,0.025526016207574453,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,35,1.2939121433654655,1.0351297146923724,0.6333333333333332,0.03590873968456541,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,36,1.3586077505337386,1.0351297146923724,0.6481481481481481,0.03153590067764148,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,37,1.423303357702012,1.0351297146923724,0.6129629629629629,0.03175264481385605,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,38,1.4879989648702852,1.0351297146923724,0.5685185185185185,0.03186046395200975,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,39,1.5526945720385585,1.0351297146923724,0.5592592592592591,0.0653680096100844,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,40,1.6173901792068317,1.0351297146923724,0.5685185185185185,0.03494067085946889,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,41,1.682085786375105,1.0351297146923724,0.5537037037037037,0.03533108153396091,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,42,1.7467813935433782,1.0351297146923724,0.5074074074074074,0.03945791806048614,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,43,1.8114770007116516,1.0351297146923724,0.5833333333333333,0.03153590067764146,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,44,1.8761726078799248,1.0351297146923724,0.5222222222222223,0.03910872607767198,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,45,1.9408682150481982,1.0351297146923724,0.48888888888888893,0.025119740678241735,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,visual_direction,time_resolved_trial_response,46,2.0055638222164713,1.0351297146923724,0.5055555555555555,0.03954473426678264,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,0,-0.9704341075240991,1.0351297146923724,0.5018518518518518,0.05152010275275392,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,1,-0.9057385003558258,1.0351297146923724,0.45185185185185184,0.020621349491963033,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,2,-0.8410428931875525,1.0351297146923724,0.46111111111111114,0.02062134949196304,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,3,-0.7763472860192793,1.0351297146923724,0.4851851851851851,0.038221791556574625,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,4,-0.711651678851006,1.0351297146923724,0.5,0.025526016207574463,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,5,-0.6469560716827327,1.0351297146923724,0.5092592592592593,0.019422386077225042,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,6,-0.5822604645144595,1.0351297146923724,0.4962962962962963,0.03542801198094259,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,7,-0.5175648573461862,1.0351297146923724,0.5074074074074073,0.04735819204646081,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,8,-0.4528692501779129,1.0351297146923724,0.5,0.038400817320977255,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,9,-0.38817364300963964,1.0351297146923724,0.5,0.03414646095293663,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,10,-0.32347803584136636,1.0351297146923724,0.45925925925925926,0.01906598174256852,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,11,-0.2587824286730931,1.0351297146923724,0.5074074074074074,0.04551187306460928,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,12,-0.19408682150481982,1.0351297146923724,0.49444444444444446,0.01255987033912088,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,13,-0.12939121433654655,1.0351297146923724,0.4685185185185185,0.020786985482077438,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,14,-0.06469560716827327,1.0351297146923724,0.5055555555555555,0.036851386559504457,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,15,0.0,1.0351297146923724,0.4925925925925926,0.045887080345792086,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,16,0.06469560716827327,1.0351297146923724,0.5537037037037037,0.047718884173056024,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,17,0.12939121433654655,1.0351297146923724,0.5351851851851853,0.04475202212442435,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,18,0.19408682150481982,1.0351297146923724,0.537037037037037,0.024145194093343102,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,19,0.2587824286730931,1.0351297146923724,0.5851851851851853,0.049135182079339264,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,20,0.32347803584136636,1.0351297146923724,0.6222222222222222,0.02709025710801442,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,21,0.38817364300963964,1.0351297146923724,0.6314814814814815,0.026449734920529086,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,22,0.4528692501779129,1.0351297146923724,0.6185185185185186,0.022980877122205305,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,23,0.5175648573461862,1.0351297146923724,0.6944444444444444,0.03464497580346243,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,24,0.5822604645144595,1.0351297146923724,0.6703703703703704,0.04124269898392607,96,540,2,signal,balanced_accuracy
g1pre,0,Beta_20211029_002,AM/PM,auditory_direction,time_resolved_trial_response,25,0.6469560716827327,1.0351297146923724,0.6481481481481481,0.05003428180039367,96,540,2,signal,balanced_accuracy
