group,area,task,analysis,signal_source,scoring,mean_score,std_score,sem_score,n_sessions,mean_neurons,min_neurons,max_neurons
g1pre,A/RL/AL,auditory_direction,averaged_trial_response,signal,balanced_accuracy,0.6171957671957672,0.17110922145593016,0.0646732067146098,7,93.14285714285714,44,169
g1pre,A/RL/AL,congruency,averaged_trial_response,signal,balanced_accuracy,0.5214285714285715,0.028496005681500663,0.010770477770276343,7,93.14285714285714,44,169
g1pre,A/RL/AL,modality,averaged_trial_response,signal,balanced_accuracy,0.639021164021164,0.1985418010314446,0.0750417471971528,7,93.14285714285714,44,169
g1pre,A/RL/AL,trial_type,averaged_trial_response,signal,balanced_accuracy,0.3833333333333333,0.21421331816442307,0.08096502391157408,7,93.14285714285714,44,169
g1pre,A/RL/AL,visual_direction,averaged_trial_response,signal,balanced_accuracy,0.7452380952380953,0.18603772013690403,0.07031564885138303,7,93.14285714285714,44,169
g1pre,AM/PM,auditory_direction,averaged_trial_response,signal,balanced_accuracy,0.6759259259259259,,,1,96.0,96,96
g1pre,AM/PM,congruency,averaged_trial_response,signal,balanced_accuracy,0.46944444444444444,,,1,96.0,96,96
g1pre,AM/PM,modality,averaged_trial_response,signal,balanced_accuracy,0.6768518518518519,,,1,96.0,96,96
g1pre,AM/PM,trial_type,averaged_trial_response,signal,balanced_accuracy,0.4138888888888889,,,1,96.0,96,96
g1pre,AM/PM,visual_direction,averaged_trial_response,signal,balanced_accuracy,0.7240740740740741,,,1,96.0,96,96
g1pre,LM,auditory_direction,averaged_trial_response,signal,balanced_accuracy,0.5138888888888888,0.0013094570021972925,0.0009259259259259134,2,54.5,45,64
g1pre,LM,congruency,averaged_trial_response,signal,balanced_accuracy,0.5236111111111111,0.0216060405362557,0.015277777777777835,2,54.5,45,64
g1pre,LM,modality,averaged_trial_response,signal,balanced_accuracy,0.5356481481481481,0.19969219283508982,0.14120370370370372,2,54.5,45,64
g1pre,LM,trial_type,averaged_trial_response,signal,balanced_accuracy,0.2520833333333333,0.12865415046588574,0.09097222222222222,2,54.5,45,64
g1pre,LM,visual_direction,averaged_trial_response,signal,balanced_accuracy,0.6944444444444444,0.22260769037354275,0.1574074074074074,2,54.5,45,64
g1pre,V1,auditory_direction,averaged_trial_response,signal,balanced_accuracy,0.5414814814814815,0.05708691902468675,0.025530046313045115,5,269.6,146,397
g1pre,V1,congruency,averaged_trial_response,signal,balanced_accuracy,0.49444444444444446,0.05361183073782995,0.023975939585600098,5,269.6,146,397
g1pre,V1,modality,averaged_trial_response,signal,balanced_accuracy,0.5792592592592593,0.17841393701673278,0.07978913826055611,5,269.6,146,397
g1pre,V1,trial_type,averaged_trial_response,signal,balanced_accuracy,0.3227777777777778,0.16813186972517719,0.07519085797792702,5,269.6,146,397
g1pre,V1,visual_direction,averaged_trial_response,signal,balanced_accuracy,0.7818518518518518,0.1848858692179809,0.08268347433010824,5,269.6,146,397
g2pre,A/RL/AL,auditory_direction,averaged_trial_response,signal,balanced_accuracy,0.5941358024691358,0.07959445102932337,0.03249429856313093,6,97.5,64,149
g2pre,A/RL/AL,congruency,averaged_trial_response,signal,balanced_accuracy,0.513425925925926,0.03489033377522353,0.014243919117448585,6,97.5,64,149
g2pre,A/RL/AL,modality,averaged_trial_response,signal,balanced_accuracy,0.7737654320987654,0.05749893142284547,0.02347384045687556,6,97.5,64,149
g2pre,A/RL/AL,trial_type,averaged_trial_response,signal,balanced_accuracy,0.48124999999999996,0.10117271474995886,0.04130358783825876,6,97.5,64,149
g2pre,A/RL/AL,visual_direction,averaged_trial_response,signal,balanced_accuracy,0.9018518518518519,0.08100026249343573,0.0330682186900693,6,97.5,64,149
g2pre,AM/PM,auditory_direction,averaged_trial_response,signal,balanced_accuracy,0.6185185185185186,0.04724944748952997,0.027279481227141217,3,176.66666666666666,159,186
g2pre,AM/PM,congruency,averaged_trial_response,signal,balanced_accuracy,0.5166666666666666,0.0493788578739755,0.028508896885816027,3,176.66666666666666,159,186
g2pre,AM/PM,modality,averaged_trial_response,signal,balanced_accuracy,0.8506172839506173,0.05189592483205857,0.029962126171633602,3,176.66666666666666,159,186
g2pre,AM/PM,trial_type,averaged_trial_response,signal,balanced_accuracy,0.6074074074074074,0.07195910046629062,0.04154560602485621,3,176.66666666666666,159,186
g2pre,AM/PM,visual_direction,averaged_trial_response,signal,balanced_accuracy,0.985185185185185,0.010310674745981541,0.005952870840119119,3,176.66666666666666,159,186
g2pre,LM,auditory_direction,averaged_trial_response,signal,balanced_accuracy,0.4925925925925926,,,1,71.0,71,71
g2pre,LM,congruency,averaged_trial_response,signal,balanced_accuracy,0.4916666666666666,,,1,71.0,71,71
g2pre,LM,modality,averaged_trial_response,signal,balanced_accuracy,0.7166666666666667,,,1,71.0,71,71
g2pre,LM,trial_type,averaged_trial_response,signal,balanced_accuracy,0.4041666666666667,,,1,71.0,71,71
g2pre,LM,visual_direction,averaged_trial_response,signal,balanced_accuracy,0.9592592592592594,,,1,71.0,71,71
g2pre,V1,auditory_direction,averaged_trial_response,signal,balanced_accuracy,0.5505291005291005,0.03995760049540729,0.01510255341395985,7,232.28571428571428,60,442
g2pre,V1,congruency,averaged_trial_response,signal,balanced_accuracy,0.5107142857142858,0.06351396778243781,0.024006023361614143,7,232.28571428571428,60,442
g2pre,V1,modality,averaged_trial_response,signal,balanced_accuracy,0.8223544973544973,0.04569494812357202,0.017271066986709875,7,232.28571428571428,60,442
g2pre,V1,trial_type,averaged_trial_response,signal,balanced_accuracy,0.5198412698412699,0.08062622333631148,0.030473848014033227,7,232.28571428571428,60,442
g2pre,V1,visual_direction,averaged_trial_response,signal,balanced_accuracy,0.9634920634920635,0.0693782753541977,0.02622252328253839,7,232.28571428571428,60,442
