group,area,task,analysis,signal_source,scoring,mean_score,std_score,sem_score,n_sessions,mean_neurons,min_neurons,max_neurons
g1pre,A/RL/AL,A_position,timepoint_position,signal,balanced_accuracy,0.10774250440917109,0.027135015573813488,0.010256071861453588,7,93.14285714285714,44,169
g1pre,A/RL/AL,V_position,timepoint_position,signal,balanced_accuracy,0.1274779541446208,0.037440454317263464,0.014151161585250531,7,93.14285714285714,44,169
g1pre,AM/PM,A_position,timepoint_position,signal,balanced_accuracy,0.1228395061728395,,,1,96.0,96,96
g1pre,AM/PM,V_position,timepoint_position,signal,balanced_accuracy,0.11160493827160493,,,1,96.0,96,96
g1pre,LM,A_position,timepoint_position,signal,balanced_accuracy,0.08259259259259258,0.01868158656468162,0.013209876543209872,2,54.5,45,64
g1pre,LM,V_position,timepoint_position,signal,balanced_accuracy,0.11339506172839506,0.047926126280421553,0.033888888888888885,2,54.5,45,64
g1pre,V1,A_position,timepoint_position,signal,balanced_accuracy,0.12358024691358024,0.029947115913928363,0.013392757382721911,5,269.6,146,397
g1pre,V1,V_position,timepoint_position,signal,balanced_accuracy,0.18022222222222223,0.06728301052690178,0.030089877053797263,5,269.6,146,397
g2pre,A/RL/AL,A_position,timepoint_position,signal,balanced_accuracy,0.12979423868312756,0.005980543909328388,0.002441546827027383,6,97.5,64,149
g2pre,A/RL/AL,V_position,timepoint_position,signal,balanced_accuracy,0.19030864197530864,0.05220390479321636,0.021312154887368845,6,97.5,64,149
g2pre,AM/PM,A_position,timepoint_position,signal,balanced_accuracy,0.14135802469135803,0.013705371937163384,0.007912800177265223,3,176.66666666666666,159,186
g2pre,AM/PM,V_position,timepoint_position,signal,balanced_accuracy,0.22395061728395063,0.04000133361593328,0.023094780731103104,3,176.66666666666666,159,186
g2pre,LM,A_position,timepoint_position,signal,balanced_accuracy,0.14333333333333334,,,1,71.0,71,71
g2pre,LM,V_position,timepoint_position,signal,balanced_accuracy,0.24666666666666665,,,1,71.0,71,71
g2pre,V1,A_position,timepoint_position,signal,balanced_accuracy,0.16047619047619047,0.018488237048660087,0.00698789677296648,7,232.28571428571428,60,442
g2pre,V1,V_position,timepoint_position,signal,balanced_accuracy,0.3034920634920635,0.05978996389004464,0.022598482192941447,7,232.28571428571428,60,442
