group,area,task,analysis,signal_source,scoring,time_index,time_s,stimulus_offset_s,mean_score,std_score,sem_score,n_sessions,mean_neurons,min_neurons,max_neurons
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,signal,balanced_accuracy,0,-0.9704341075240991,1.0351297146923724,0.4986772486772487,0.007980477846030886,0.0030163371034368767,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,signal,balanced_accuracy,1,-0.9057385003558258,1.0351297146923724,0.4973544973544973,0.013175382282197981,0.0049798264209860695,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,signal,balanced_accuracy,2,-0.8410428931875525,1.0351297146923724,0.508994708994709,0.027035949822309432,0.010218628526893096,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,signal,balanced_accuracy,3,-0.7763472860192793,1.0351297146923724,0.5002645502645503,0.029132177755577214,0.011010928212997874,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,signal,balanced_accuracy,4,-0.711651678851006,1.0351297146923724,0.4976190476190476,0.021877843030725222,0.008269047411686653,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,signal,balanced_accuracy,5,-0.6469560716827327,1.0351297146923724,0.49894179894179896,0.033501925209595995,0.012662537506639496,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,signal,balanced_accuracy,6,-0.5822604645144595,1.0351297146923724,0.49153439153439155,0.023101363656910078,0.008731494740378532,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,signal,balanced_accuracy,7,-0.5175648573461862,1.0351297146923724,0.5060846560846561,0.01599162038064277,0.006044264369733261,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,signal,balanced_accuracy,8,-0.4528692501779129,1.0351297146923724,0.4925925925925926,0.03355550104920217,0.01268278727062227,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,signal,balanced_accuracy,9,-0.38817364300963964,1.0351297146923724,0.4933862433862434,0.02556756612685407,0.009663631657264967,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,signal,balanced_accuracy,10,-0.32347803584136636,1.0351297146923724,0.5079365079365079,0.03470619853665766,0.013117710040061426,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,signal,balanced_accuracy,11,-0.2587824286730931,1.0351297146923724,0.5124338624338625,0.034074649178491484,0.012879006819722833,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,signal,balanced_accuracy,12,-0.19408682150481982,1.0351297146923724,0.5071428571428571,0.034783749132840255,0.013147021410279132,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,signal,balanced_accuracy,13,-0.12939121433654655,1.0351297146923724,0.5,0.05114151895606908,0.019329677261122055,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,signal,balanced_accuracy,14,-0.06469560716827327,1.0351297146923724,0.5010582010582011,0.03219697362671195,0.01216931216931217,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,signal,balanced_accuracy,15,0.0,1.0351297146923724,0.49708994708994714,0.018667828412100334,0.0070557759280061826,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,signal,balanced_accuracy,16,0.06469560716827327,1.0351297146923724,0.5063492063492063,0.022902577483598894,0.008656360629141449,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,signal,balanced_accuracy,17,0.12939121433654655,1.0351297146923724,0.5108465608465609,0.026242088350451064,0.009918577094039817,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,signal,balanced_accuracy,18,0.19408682150481982,1.0351297146923724,0.5214285714285715,0.03604944311560253,0.013625408769464824,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,signal,balanced_accuracy,19,0.2587824286730931,1.0351297146923724,0.5925925925925926,0.1102331568982034,0.04166421705517291,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,signal,balanced_accuracy,20,0.32347803584136636,1.0351297146923724,0.6105820105820107,0.1550687351678589,0.05861047276792722,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,signal,balanced_accuracy,21,0.38817364300963964,1.0351297146923724,0.6002645502645503,0.17807147990727074,0.06730469306112477,7,93.14285714285714,44,169
g1pre,A/RL/AL,auditory_direction,time_resolved_trial_response,signal,balanced_accuracy,22,0.4528692501779129,1.0351297146923724,0.6002645502645503,0.1765111402650386,0.06671494011053311,7,93.14285714285714,44,169
